state,key,svn,english,translation
CURRENT,tutorial_wrapup2,2886,"The career you choose is now up to you.  There are many opportunities to choose from, and you'll learn more as you work.\n\nOpen the <b>CONTRACTS</b> board.","Карьера, которую вы выберете, теперь зависит от вас.  Есть много возможностей на выбор, и вы узнаете больше по мере работы.\n\nОткройте доску <b>КОНТРАКТЫ</b>."
CURRENT,tutorial_resinstart,2886,We are now going to learn how to produce <b>STARGATE RESIN</b>.,Теперь мы научимся производить <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.
CURRENT,tutorial_resinintro,2886,"Turning our attention back to the Stargate, the Stargate project also requires us to produce <b>STARGATE RESIN</b>.\n\nWe are going to use the <b>INDUSTRIOUS</b> to collect <b>METREON GAS</b>, refine it, and process it into <b>STARGATE RESIN</b>.","Обращая наше внимание обратно к Звездным Вратам, проект Звездные Врата также требует от нас производства <b>СМОЛЫ ЗВЕЗДНЫХ ВРАТ</b>.\n\nМы собираемся использовать <b>INDUSTRIOUS</b> для сбора <b>ГАЗА МЕТРЕОНА</b>, переработки его и обработки в <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>."
CURRENT,tutorial_resinintro2,2886,Raise enough money to purchase for <b>INDUSTRIOUS</b>:\n\n- 1x <b>GAS COLLECTOR</b>\n- 1x <b>REFINERY</b>\n- 1x <b>CHEMICAL LAB</b>,Соберите достаточно денег для покупки для <b>INDUSTRIOUS</b>:\n\n- 1x <b>ГАЗОСБОРНИК</b>\n- 1x <b>ХИМИЧЕСКИЙ ЗАВОД</b>\n- 1x <b>ХИМИЧЕСКАЯ ЛАБОРАТОРИЯ</b>
CURRENT,tutorial_resinselectnebula,2886,"Before we can start collecting the <b>METREON GAS</b>, we need to move the <b>INDUSTRIOUS</b> to a system containing a <b>GAS CLOUD</b>.\n\nUse the <b>SECTOR MAP</b> to select a suitable destination.","Прежде чем мы сможем начать сбор <b>ГАЗА МЕТРЕОНА</b>, нам нужно переместить <b>INDUSTRIOUS</b> в систему, содержащую <b>ГАЗОВОЕ ОБЛАКО</b>.\n\nИспользуйте <b>КАРТУ СЕКТОРА</b>, чтобы выбрать подходящее место назначения."
CURRENT,tutorial_resinjumptonebula,2886,Close the sector map and use the <b>FTL</b> Window to jump the <b>INDUSTRIOUS</b> to the nebula.,"Закройте карту сектора и используйте окно <b>ГИПЕРДВИГАТЕЛЬ</b>, чтобы переместить <b>INDUSTRIOUS</b> в туманность."
CURRENT,tutorial_resininstallgascollector,2886,"Install the <b>GAS COLLECTOR</b>, <b>REFINERY</b> and <b>CHEMICAL LAB</b> so that they are close to each other.","Установите <b>ГАЗОСБОРНИК</b>, <b>ХИМИЧЕСКИЙ ЗАВОД</b> и <b>ХИМИЧЕСКУЮ ЛАБОРАТОРИЮ</b> так, чтобы они были близко друг к другу."
CURRENT,tutorial_resinpowerup,2886,"Power up the <b>GAS COLLECTOR</b>, <b>REFINERY</b> and <b>CHEMICAL LAB</b>.","Запустите <b>ГАЗОСБОРНИК</b>, <b>ХИМИЧЕСКИЙ ЗАВОД</b> и <b>ХИМИЧЕСКУЮ ЛАБОРАТОРИЮ</b>."
CURRENT,tutorial_resinrefineryrecipe,2886,Right click on the <b>REFINERY</b> and set its recipe to <b>REFINE METREON GAS</b>.,Щелкните правой кнопкой мыши по <b>ХИМИЧЕСКОМУ ЗАВОДУ</b> и установите его рецепт на <b>ПЕРЕРАБОТАТЬ ГАЗ МЕТРЕОНА</b>.
CURRENT,tutorial_resinchemicallabrecipe,2886,Right click on the <b>CHEMICAL LAB</b> and set its recipe to <b>MAKE STARGATE RESIN</b>.,Щелкните правой кнопкой мыши по <b>ХИМИЧЕСКОЙ ЛАБОРАТОРИИ</b> и установите её рецепт на <b>ИЗГОТОВИТЬ СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.
CURRENT,tutorial_resinconnectgascollector,2886,Connect the <b>GAS COLLECTOR</b> to the <b>REFINERY</b> with a <b>PIPE</b>.,Подключите <b>ГАЗОСБОРНИК</b> к <b>ХИМИЧЕСКОМУ ЗАВОДУ</b> с помощью <b>ТРУБЫ</b>.
CURRENT,tutorial_resinconnectchemicallab,2886,Connect the <b>REFINERY</b> to the <b>CHEMICAL LAB</b> with a <b>PIPE</b>.,Подключите <b>ХИМИЧЕСКИЙ ЗАВОД</b> к <b>ХИМИЧЕСКОЙ ЛАБОРАТОРИИ</b> с помощью <b>ТРУБЫ</b>.
CURRENT,tutorial_resinsuccess,2886,"Well done, you have started to produce <b>STARGATE RESIN</b>.\n\nWhen you have produced enough, travel back to any <b>COLONY</b>, <b>SHIP YARD</b> or the <b>STARGATE</b> system to sell it to the <b>STARGATE PROJECT</b>.","Отлично, вы начали производить <b>СМОЛУ ЗВЕЗДНЫХ ВРАТ</b>.\n\nКогда вы произведете достаточно, вернитесь на любую <b>КОЛОНИЮ</b>, <b>ВЕРФЬ</b> или в систему <b>ЗВЕЗДНЫЕ ВРАТА</b>, чтобы продать её <b>ПРОЕКТУ ЗВЕЗДНЫЕ ВРАТА</b>."
CURRENT,tutorial_dockingcheckthrusters,2886,"In order to be able to dock successfully, your ship needs at least four working <b>THRUSTERS</b>.\n\nUse a different ship, or purchase and install four thrusters at a nearby trading post.","Чтобы успешно пристыковаться, вашему кораблю нужно как минимум четыре рабочих <b>МАНЕВРОВЫХ ДВИГАТЕЛЯ</b>.\n\nИспользуйте другой корабль или купите и установите четыре маневровых двигателя на ближайшем торговом посту."
CURRENT,tutorial_dockingzoomin,2886,Zoom in so that you can see the docking guides more clearly. They are <b>RED</b> diamonds extending from the docking ports.,"Увеличьте масштаб, чтобы лучше видеть направляющие стыковки. Это <b>КРАСНЫЕ</b> ромбы, исходящие от стыковочных портов."
CURRENT,tutorial_dockingopenmaneuver,2886,Open the <b>MANEUVERING THRUSTER</b> controls.,Откройте элементы управления <b>МАНЕВРОВЫМИ ДВИГАТЕЛЯМИ</b>.
CURRENT,tutorial_dockingmaneuver,2886,"Use your <b>THRUSTERS</b> to maneuver your ship so that <b>RED</b> diamonds of your docking ports align with the docking port of the *X.\n\nWhen aligned correctly, they will both turn <b>YELLOW</b>.\n\nKeep the ships aligned until the docking bridge is fully extended.","Используйте <b>МАНЕВРОВЫЕ ДВИГАТЕЛИ</b>, чтобы маневрировать кораблем так, чтобы <b>КРАСНЫЕ</b> ромбы стыковочных портов совпали со стыковочным портом *X.\n\nПри правильном выравнивании они оба станут <b>ЖЕЛТЫМИ</b>.\n\nУдерживайте выравнивание до полного выдвижения стыковочного моста."
CURRENT,tutorial_logisticscrewselectship,2886,Select the <b>UMC</b> Astral Temptress. \n\n As you can see it has no crew.,"Выберите <b>UMC</b> Astral Temptress. \n\n Как вы можете видеть, у него нет экипажа."
CURRENT,tutorial_logisticscrewselectfrom,2886,Select the <b>SOURCE</b> ship that the crew will come <b>FROM</b>.,"Выберите корабль <b>ИСТОЧНИК</b>, с которого прибудет экипаж."
CURRENT,tutorial_logisticscrewclicktarget,2886,Click in the <b>CREW</b> cell of the <b>DESTINATION</b> ship to request 5 crew to transfer.,"Щелкните в ячейке <b>ЭКИПАЖ</b> корабля <b>НАЗНАЧЕНИЕ</b>, чтобы запросить перевод 5 членов экипажа."
CURRENT,tutorial_logisticscrewclicktarget_shiftclick,2886,<b>NOTE</b>: You can <b>SHIFT CLICK</b> to request transfer in multiples of 5.,<b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для запроса перевода кратно 5.
CURRENT,tutorial_combatselectcannon,2886,"Your guns can also target specific points on enemy ships.\n\nFirst, select which guns you would like to use.\n\nYou can <b>SHIFT CLICK</b> to select multiple guns.","Ваши орудия также могут нацеливаться на конкретные точки на вражеских кораблях.\n\nСначала выберите, какие орудия вы хотите использовать.\n\nМожно <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b>, чтобы выбрать несколько орудий одновременно."
CURRENT,tutorial_combatbattlestations,2886,The effect of the <b>EMP</b> is wearing off!\n\nDeploy your weapons and make your crew ready to fight by clicking on <b>BATTLE STATIONS</b>.,"Эффект <b>ЭМИ</b> проходит!\n\nАктивируйте оружие и подготовьте экипаж к бою, нажав на <b>БОЕВОЙ РЕЖИМ</b>."
CURRENT,tutorial_combatkeepmoving,2886,"Make sure to keep moving during combat, this increases your <b>EVASION</b> and makes you a harder target to hit.","Обязательно продолжайте движение во время боя, это увеличивает ваше <b>УКЛОНЕНИЕ</b> и делает вас более сложной целью для попадания."
CURRENT,tutorial_mininginstalllaser,2886,You will need a Mining Laser. These use a lot of power so consider installing extra reactors or batteries.\n\nInstall a <b>MINING LASER</b> and connect it to the power grid.,"Вам понадобится Шахтерский Лазер. Они потребляют много энергии, поэтому подумайте об установке дополнительных реакторов или батарей.\n\nУстановите <b>ШАХТЕРСКИЙ ЛАЗЕР</b> и подключите его к энергосети."
CURRENT,tutorial_miningundock,2886,Make sure to <b>UNDOCK</b> from any other ship (from the <b>TACTICAL</b> screen).,"Убедитесь, что вы <b>ОТСТЫКОВАЛИСЬ</b> от любого другого корабля (через режим <b>ТАКТИКА</b>)."
CURRENT,tutorial_miningflytosystem,2886,"Look at the rocks on the map, these indicate <b>ASTEROID BELTS</b>. \n\nFly to a system in an asteroid belt, it will probably contain Tilium Ore.","Посмотрите на камни на карте, они указывают на <b>ПОЯСА АСТЕРОИДОВ</b>. \n\nПолетите в систему в поясе астероидов, она, вероятно, содержит Тилиевую Руду."
CURRENT,tutorial_miningselectlaser,2886,"You can also target specific mineral patches.\n\nFirst, select which laser you would like to use.\n\nYou can <b>SHIFT CLICK</b> to select multiple lasers.","Вы также можете нацеливаться на конкретные месторождения минералов.\n\nСначала выберите, какой лазер вы хотите использовать.\n\nВы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для выбора нескольких лазеров."
CURRENT,tutorial_mininginstalldronebay,2886,Drones will collect mined resources.\n\nInstall a <b>DRONE BAY</b> so your drones can collect the Tilium Ore.,"Дроны будут собирать добытые ресурсы.\n\nУстановите <b>ОТСЕК ДЛЯ ДРОНОВ</b>, чтобы ваши дроны могли собирать Тилиевую Руду."
CURRENT,tutorial_miningfleetorders,2886,You also need to make sure that <b>GATHER MATERIALS</b> is enabled in <b>FLEET ORDERS</b>.,"Вам также нужно убедиться, что <b>СОБИРАТЬ МАТЕРИАЛЫ</b> включено в <b>ПРИКАЗАХ ФЛОТА</b>."
CURRENT,tutorial_mininginstallsmelter,2886,You will need to smelt the raw Tilium Ore to crystals.\n\nInstall a <b>SMELTER</b>.,Вам нужно будет переплавить сырую Тилиевую Руду в кристаллы.\n\nУстановите <b>ПЛАВИЛЬНУЮ ПЕЧЬ</b>.
CURRENT,tutorial_miningsetsmelter,2886,Right click on the <b>SMELTER</b> and select <b>TILIUM ORE</b> to smelt it into Tilium Crystals.,"Щелкните правой кнопкой мыши по <b>ПЛАВИЛЬНОЙ ПЕЧИ</b> и выберите <b>ТИЛИЕВАЯ РУДА</b>, чтобы переплавить её в Тилиевые Кристаллы."
CURRENT,tutorial_buyshipinspect,2886,"Click on the <b>JMC MINING STATION</b>, an old unused industrial station for sale.","Нажмите на <b>JMC MINING STATION</b>, старую неиспользуемую промышленную станцию на продажу."
CURRENT,tutorial_buyshipbuy,2886,Click on the <b>BUY</b> button to purchase the <b>JMC MINING STATION</b>.,"Нажмите кнопку <b>КУПИТЬ</b>, чтобы приобрести <b>JMC MINING STATION</b>."
CURRENT,tutorial_buyshipsuccess,2886,"Well done, you have purchased the <b>JMC MINING STATION</b>.","Отлично, вы приобрели <b>JMC MINING STATION</b>."
CURRENT,settings_accentinsensitivesearch,2803,Accent Insensitive Search,Поиск Без Учета Акцентов
CURRENT,settings_accentinsensitivesearch_description,2803,"When searching in lists, ignore accented characters, e.g. ""é"" will match ""e""","При поиске в списках игнорировать символы с диакритическими знаками, например ""é"" будет соответствовать ""e"""
CURRENT,settings_translatorassist,2803,"Translator Assist (Ctrl, Alt)","Помощник Переводчика (Ctrl, Alt)"
CURRENT,settings_sound,2793,SOUND,ГРОМКОСТЬ
CURRENT,settings_appearance,2793,APPEARANCE,ИНТЕРФЕЙС
CURRENT,settings_keybindings,2793,KEYBOARD,УПРАВЛЕНИЕ
CURRENT,settings_other,2793,OTHER,ПРОЧЕЕ
CURRENT,settings_uibounce,2793,UI Highlight Bounce,Подсветка с Эффектом Отскока
CURRENT,keybinding_title_action,2793,Action,Действие
CURRENT,keybinding_title_key,2793,Key,Клавиша
CURRENT,keybinding_press_a_key,2793,PRESS A KEY,НАЖМИТЕ КЛАВИШУ
CURRENT,keybinding_revert,2793,RESET,СБРОС
CURRENT,keybinding_panleft1,2793,Pan Left (1),Камера Влево (1)
CURRENT,keybinding_panleft2,2793,Pan Left (2),Камера Влево (2)
CURRENT,keybinding_panright1,2793,Pan Right (1),Камера Вправо (1)
CURRENT,keybinding_panright2,2793,Pan Right (2),Камера Вправо (2)
CURRENT,keybinding_pandown1,2793,Pan Down (1),Камера Вниз (1)
CURRENT,keybinding_pandown2,2793,Pan Down (2),Камера Вниз (2)
CURRENT,keybinding_panup1,2793,Pan Up (1),Камера Вверх (1)
CURRENT,keybinding_panup2,2793,Pan Up (2),Камера Вверх (2)
CURRENT,keybinding_zoomin,2793,Zoom In,Приблизить
CURRENT,keybinding_zoomout,2793,Zoom Out,Отдалить
CURRENT,keybinding_ManoeuvreLeft,2793,Thrust Left,Тяга Влево
CURRENT,keybinding_ManoeuvreRight,2793,Thrust Right,Тяга Вправо
CURRENT,keybinding_ManoeuvreUp,2793,Thrust Up,Тяга Вверх
CURRENT,keybinding_ManoeuvreDown,2793,Thrust Down,Тяга Вниз
CURRENT,keybinding_ManoeuvreClockwise,2793,Thrust Clockwise,Вращение По Часовой
CURRENT,keybinding_ManoeuvreCounterClockwise,2793,Thrust C-Clockwise,Вращение Против Часовой
CURRENT,keybinding_toggletactical,2793,Toggle Tactical,Тактический Режим
CURRENT,keybinding_togglemap,2793,Toggle Map,Карта Сектора
CURRENT,keybinding_increasethrust,2793,Engines +,Увеличить Тягу
CURRENT,keybinding_decreasethrust,2793,Engines -,Уменьшить Тягу
CURRENT,keybinding_hudscaleup,2793,Increase HUD Scale,Увеличение Масштаба
CURRENT,keybinding_hudscaledown,2793,Decrease HUD Scale,Уменьшение Масштаба
CURRENT,keybinding_recentrehome,2793,Recentre Ship,Центрировать Корабль
CURRENT,keybinding_togglepause,2793,Pause,Пауза
CURRENT,keybinding_gamespeed1,2793,Normal Speed,1x Скорость
CURRENT,keybinding_gamespeed2,2793,2x Speed,2x Скорость
CURRENT,keybinding_gamespeed3,2793,3x Speed,3x Скорость
CURRENT,keybinding_gamespeed4,2793,4x Speed,4x Скорость
CURRENT,keybinding_gamespeed5,2793,5x Speed,5x Скорость
CURRENT,keybinding_gamespeed6,2793,6x Speed,6x Скорость
CURRENT,keybinding_gamespeed7,2793,7x Speed,7x Скорость
CURRENT,keybinding_gamespeed8,2793,8x Speed,8x Скорость
CURRENT,keybinding_gamespeed9,2793,9x Speed,9x Скорость
CURRENT,keybinding_gamespeed0,2793,Half Speed,0.5x Скорость
CURRENT,keybinding_rotateobject,2793,Rotate Object,Повернуть Объект
CURRENT,keybinding_takescreenshot,2793,Screenshot (+ {MetaCtrl}),Скриншот (+ {MetaCtrl})
CURRENT,origin_shipofficial,2793,OFFICIAL SHIPS,ОФИЦИАЛЬНЫЕ КОРАБЛИ
CURRENT,origin_shipcommunity,2793,COMMUNITY SHIPS,КОРАБЛИ СООБЩЕСТВА
CURRENT,origin_shipuser,2793,PLAYER-MADE SHIPS,ПОЛЬЗОВАТЕЛЬСКИЕ КОРАБЛИ
CURRENT,origin_shipsteam,2793,SUBSCRIBED SHIPS ON STEAM WORKSHOP,ПОДПИСАННЫЕ КОРАБЛИ ИЗ МАСТЕРСКОЙ STEAM
CURRENT,origin_shipsteamuser,2793,SHIPS UPLOADED TO STEAM WORKSHOP,КОРАБЛИ ЗАГРУЖЕННЫЕ В МАСТЕРСКУЮ STEAM
CURRENT,shipeditor_mode_eyedropper,2793,Eyedropper,Пипетка
CURRENT,shipeditor_paint,2793,PAINT,КРАСИТЬ
CURRENT,shipeditor_paint_paint,2793,Foreground Paint,Передний План
CURRENT,shipeditor_paint_erase,2793,Background Paint,Задний План
CURRENT,shipeditor_paint_name,2793,Paint Name,Название Краски
CURRENT,shipeditor_paint_standard,2793,Standard Paint,Стандартная Краска
CURRENT,shipeditor_paint_custom,2793,Custom Paint,Пользовательская Краска
CURRENT,shipeditor_paint_primary,2793,Base Primary,Основная База
CURRENT,shipeditor_paint_secondary,2793,Base Secondary,Вторичная База
CURRENT,shipeditor_paint_detailprimary,2793,Detail Primary,Детали Первичные
CURRENT,shipeditor_paint_detailsecondary,2793,Detail Secondary,Детали Вторичные
CURRENT,shipeditor_paint_detailtertiary,2793,Detail Tertiary,Детали Третичные
CURRENT,shipeditor_palettelibrary_title_import,2793,IMPORT PALETTES,ИМПОРТ ПАЛИТР
CURRENT,shipeditor_palettelibrary_title_export,2793,EXPORT PALETTES,ЭКСПОРТ ПАЛИТР
CURRENT,shipeditor_palettelibrary_createname,2793,CREATE NEW PALETTE,СОЗДАТЬ НОВУЮ ПАЛИТРУ
CURRENT,shipeditor_palettelibrary_import,2793,IMPORT,ИМПОРТ
CURRENT,shipeditor_palettelibrary_delete,2793,DELETE,УДАЛИТЬ
CURRENT,shipeditor_palettelibrary_confirm,2793,CONFIRM,ПОДТВЕРДИТЬ
CURRENT,shipeditor_palettelibrary_cancel,2793,CANCEL,ОТМЕНА
CURRENT,shipeditor_palettelibrary_export,2793,EXPORT,ЭКСПОРТ
CURRENT,shipeditor_palettelibrary_upload,2793,UPLOAD,ЗАГРУЗИТЬ
CURRENT,trade_autotradedisabled,2793,DISABLED IN ORDER MENU,ОТКЛЮЧЕНО В МЕНЮ ЗАКАЗОВ
CURRENT,order_autotradeactive,2793,Auto Trade,Автоторговля
CURRENT,object_table,2793,Table,Стол
CURRENT,object_smalltable,2793,Small Table,Маленький Столик
CURRENT,object_chair,2793,Chair,Стул
CURRENT,object_sofa,2793,Sofa,Диван
CURRENT,object_potplant,2793,Pot Plant,Горшочное Растение
CURRENT,tutorial_battlestations_title,2793,BATTLE STATIONS,БОЕВОЙ РЕЖИМ
CURRENT,tutorial_battlestationsstart,2793,We are now going to learn how to deploy our weapons for combat.\n\nThe game has been paused for now.,Теперь мы научимся активировать наше оружие для боя.\n\nИгра приостановлена на данный момент.
CURRENT,tutorial_battlestationshighlightcrew,2793,Your crew will run to the weapons to deploy them.\n\nGatling guns don't require any crew to deploy them.,"Ваш экипаж побежит к оружию, чтобы активировать его.\n\nПулеметы не требуют экипажа для активации."
CURRENT,tutorial_battlestationshighlightguns,2793,The gun barrels will begin to extend when they arrive.\n\nWhen the barrels are fully extended they will be ready to fire!,"Стволы орудий начнут выдвигаться, когда они прибудут.\n\nКогда стволы полностью выдвинутся, они будут готовы к стрельбе!"
CURRENT,tutorial_battlestationssuccess,2793,"Well done, your weapons are now successfully deployed for battle!","Отлично, ваше оружие теперь успешно активировано для боя!"
CURRENT,tutorial_stargatejump_title,2793,STARGATE JUMPING,ПРЫЖКИ ЧЕРЕЗ ЗВЕЗДНЫЕ ВРАТА
CURRENT,tutorial_stargatejumpstart,2793,We are now going to learn how to jump using the newly powered-up Stargate.,"Теперь мы научимся совершать прыжки, используя недавно запущенные Звездные Врата."
CURRENT,tutorial_stargatejumpnopower,2793,"The Stargate currently has lost power and needs to be started again.\n\nUse energy transmitters to power the Stargate.\n\nWhen the Stargate is ready, we will try again!","Звездные Врата в настоящее время потеряли энергию и должны быть снова запущены.\n\nИспользуйте передатчики энергии для питания Звездных Врат.\n\nКогда Звездные Врата будут готовы, мы попробуем снова!"
CURRENT,tutorial_stargatejumpselectsystem,2793,Let's have a look at your ship in the Stargate system.\n\nStargate jumps can only be performed from the Stargate system.,Давайте посмотрим на ваш корабль в системе Звездные Врата.\n\nПрыжки через Звездные Врата могут выполняться только из системы Звездные Врата.
CURRENT,tutorial_stargatejumpabortjump,2793,We will need to abort the jump that's currently planned.,"Нам нужно будет отменить прыжок, который в настоящее время запланирован."
CURRENT,tutorial_stargatejumphighlightalign,2793,"When no jump is planned on the sector map, you can align your fleet for a Stargate jump.","Когда на карте сектора не запланирован прыжок, вы можете выровнять ваш флот для прыжка через Звездные Врата."
CURRENT,tutorial_stargatejumphighlightaligning,2793,Great! The selected ships will now align for the jump.,Отлично! Выбранные корабли теперь выровняются для прыжка.
CURRENT,tutorial_stargatejumphighlightjump,2793,Your fleet is ready to jump to the new sector!\n\nYou can come back to this sector by performing another Stargate jump.,"Ваш флот готов к прыжку в новый сектор!\n\nВы можете вернуться в этот сектор, совершив еще один прыжок через Звездные Врата."
CURRENT,tutorial_stargatejumpsuccess,2793,Well done. You can now jump between sectors!,Отлично. Теперь вы можете совершать прыжки между секторами!
CURRENT,dsi_part2_objective_sellreminder,2793,Sell your manufactured parts to submit them to the Stargate project,"Продайте произведенные детали, чтобы отправить их в проект Звездные Врата"
CURRENT,trade_autotradecancelled,2793,LAST ORDER CANCELLED,ПОСЛЕДНИЙ ЗАКАЗ ОТМЕНЕН
CURRENT,origin_official,2793,OFFICIAL,ОФИЦИАЛЬНЫЙ
CURRENT,origin_community,2793,COMMUNITY,СООБЩЕСТВО
CURRENT,origin_user,2793,PLAYER-MADE,ПОЛЬЗОВАТЕЛЬСКИЙ
CURRENT,origin_steam,2793,SUBSCRIBED ON STEAM WORKSHOP,ПОДПИСКА ИЗ МАСТЕРСКОЙ STEAM
CURRENT,origin_steamuser,2793,UPLOADED TO STEAM WORKSHOP,ЗАГРУЖЕНО В МАСТЕРСКУЮ STEAM
CURRENT,special_stargatepart3,2793,"Andromeda Project Phases 4, 5","Проект Андромеда Фазы 4, 5"
CURRENT,dsi_part2_objective_installengines,2793,OPTIONAL: Install engines in the A.J.E Foundry,НЕОБЯЗАТЕЛЬНО: Установить двигатели в A.J.E Foundry
CURRENT,settings_dynamiclighting,2675,Use Dynamic Lighting,Использовать Динамическое Освещение
CURRENT,hud_ftlshipnotviablewarning,2675,Ship needs either hull or scaffolding to be brought into hyperspace,Кораблю нужен корпус или каркас для перехода в гиперпространство
CURRENT,trade_cancelautotrade,2675,CANCEL AUTO-TRADE,ОТМЕНИТЬ АВТОТОРГОВЛЮ
CURRENT,hud_collector_tooltip_totalgathered,2675,TOTAL GATHERED,ВСЕГО СОБРАНО
CURRENT,save_cloudsavefailed_header,2639,WARNING: Cloud Save Failed,ПРЕДУПРЕЖДЕНИЕ: Ошибка облачного сохранения
CURRENT,save_cloudsavefailed_body,2639,"The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again.","Не удалось сохранить игру в облако, игра была сохранена локально.\n\nПожалуйста, проверьте, что у вас достаточно места в Облаке Steam, и попробуйте снова."
CURRENT,mission_type_sectorjumpgate,2639,Jumpgate (Sector),Прыжковые Врата (Сектор)
CURRENT,settings_arraytextures,2624,Use Array Textures,Использовать Массивы Текстур
CURRENT,newmainmenu_arena_shipquantity,2624,Quantity,Количество
CURRENT,newmainmenu_arena_combatratings,2624,COMBAT RATINGS,БОЕВОЙ РЕЙТИНГ
CURRENT,newmainmenu_arena_tradevalues,2624,SHIP VALUES,СТОИМОСТЬ КОРАБЛЕЙ
CURRENT,newmainmenu_arena_expandstats,2624,SHOW INFO,ПОКАЗАТЬ ИНФОРМАЦИЮ
CURRENT,newmainmenu_arena_collapsestats,2624,HIDE INFO,СКРЫТЬ ИНФОРМАЦИЮ
CURRENT,newmainmenu_arena_generateenemyfleet,2624,GENERATE,СОЗДАТЬ
CURRENT,newmainmenu_savetosteamcloud,2624,SAVE TO STEAM CLOUD,СОХРАНИТЬ В STEAM CLOUD
CURRENT,newmainmenu_steamcloud,2624,STEAM CLOUD,STEAM CLOUD
CURRENT,newmainmenu_cloudquotaremaining,2624,Used: *X / *Y (*Z% remaining),Использовано: *X / *Y (осталось *Z%)
CURRENT,newmainmenu_tooltip_changeship,2624,[LMB] Change ship,[ЛКМ] Сменить корабль
CURRENT,newmainmenu_tooltip_removeship,2624,[RMB] Remove ship,[ПКМ] Убрать корабль
CURRENT,hud_jumpthroughstargate,2624,JUMP THROUGH STARGATE,ПРЫГНУТЬ ЧЕРЕЗ ЗВЕЗДНЫЕ ВРАТА
CURRENT,hud_jumpgatedistance,2624,ALL SHIPS MUST ENTER JUMPGATE,ВСЕ КОРАБЛИ ДОЛЖНЫ ВОЙТИ В ПРЫЖКОВЫЕ ВРАТА
CURRENT,hud_jumpgatedamage,2624,JUMPGATE OFFLINE DUE TO DAMAGE,ПРЫЖКОВЫЕ ВРАТА ОТКЛЮЧЕНЫ ИЗ-ЗА ПОВРЕЖДЕНИЙ
CURRENT,hud_jumpgaterequires,2624,JUMPGATE UNAVAILABLE,ПРЫЖКОВЫЕ ВРАТА НЕДОСТУПНЫ
CURRENT,hud_collector_tooltip_gathering,2624,Gathering *X *Y per second,Сбор *X *Y в секунду
CURRENT,galaxymap_fortress,2624,FORTRESS,КРЕПОСТЬ
CURRENT,galaxymap_jumpgate,2624,JUMPGATE,ПРЫЖКОВЫЕ ВРАТА
CURRENT,powergrid_category_stargate,2624,STARGATE,ЗВЕЗДНЫЕ ВРАТА
CURRENT,techtree_refining,2624,Refining,Переработка
CURRENT,techtree_collection,2624,Collection,Коллекция
CURRENT,techtree_smelting,2624,Smelting,Плавка
CURRENT,techtree_node_title_zeleongasrefining,2624,Zeleon Gas,Газ Зелеона
CURRENT,techtree_node_caption_zeleongasrefining,2624,"The new gas we've observed seems to be quite unstable and is radiating high amounts of energy, our scientists need to find a safe way to collect and stabilise it.","Новый газ, который мы наблюдали, кажется довольно нестабильным и излучает большое количество энергии, наши ученые должны найти безопасный способ собрать и стабилизировать его."
CURRENT,techtree_node_title_zeleonenergycontainment,2624,Zeleon Energy Containment,Хранение Энергии Зелеона
CURRENT,techtree_node_caption_zeleonenergycontainment,2624,"Stable Zeleon is a safe, energy-dense gas that could be used for advanced energy storage.","Стабильный Зелеон - это безопасный, энергоемкий газ, который можно использовать для продвинутого хранения энергии."
CURRENT,techtree_node_title_neubidiumprocessing,2624,Neubidium Processing,Обработка Нейбидиума
CURRENT,techtree_node_caption_neubidiumprocessing,2624,"The mineral collected from the local asteroid has never been seen before, we should investigate its uses.","Минерал, собранный с местного астероида, никогда раньше не встречался, мы должны исследовать его применение."
CURRENT,techtree_node_title_neubidiumfabrication,2624,Neubidium Fabrication,Изготовление Нейбидиума
CURRENT,techtree_node_caption_neubidiumfabrication,2624,"Infuse energy storage with Neubidium, providing it with enhanced efficiency and improved conductive properties.","Насыщайте накопители энергии Нейбидиумом, обеспечивая им повышенную эффективность и улучшенные проводящие свойства."
CURRENT,techtree_available_title,2624,RESEARCH AVAILABLE,ДОСТУПНО ИССЛЕДОВАНИЕ
CURRENT,mission_sectorjumpgate_title,2624,SECTOR OBJECTIVE: Activate the Jumpgate,ЗАДАЧА СЕКТОРА: Активировать Прыжковые Врата
CURRENT,mission_sectorjumpgate_description1,2624,The Jumpgate at the end of this sector has some requirements before it can be used.,"У Прыжковых Врат в конце этого сектора есть некоторые требования, прежде чем их можно будет использовать."
CURRENT,mission_sectorjumpgate_damage,2624,"The Jumpgate is damaged, and must be repaired and re-aligned.",Прыжковые Врата повреждены и должны быть отремонтированы и перенастроены.
CURRENT,mission_sectorjumpgate_toll,2624,There is a TRANSIT FEE to pay for use of the Jumpgate. This money covers the operating costs and energy consumption of such a massive facility.,Существует ПЛАТА ЗА ПРОХОД для использования Прыжковых Врат. Эти деньги покрывают эксплуатационные расходы и потребление энергии такого массивного сооружения.
