action_closedoors | Закрыть Все Двери
dsi_part2_isotopesintro1 | Нам нужно произвести 100 Стабильных Изотопов. Это химическое соединение, которое мы должны синтезировать и доставить в бочках Проекту Андромеда.
dsi_part2_isotopesintro2 | Это не слишком сложно.  Начинается с Гиперпространственного Совка, или нескольких в идеале, которые вы можете установить на свои корабли.  Каждый раз, когда вы совершаете гиперпрыжок, вы будете собирать больше, проходя через гиперпространство.  Затем вы можете направить эти изотопы в Химический Завод и преобразовать их в Стабильные Изотопы.
dsi_part2_isotopesintro3 | Заключительный этап - установить Погрузчик или два и установить их в режим 'РАЗГРУЗКА'.  Это даст указание вашему экипажу упаковать стабильные изотопы в бочки и хранить их в грузовом отсеке, чтобы вы могли легко продавать их на Рынке.
dsi_part2_objective_actuators | Произвести Приводы Звездных Врат [*X/250]
dsi_part2_objective_buygasfuselage | Купить корабль Gas Capture
dsi_part2_objective_collectgas | Начать сбор Газа Метреона [*X/100]
dsi_part2_objective_collectisotopes | Начать сбор Гиперпространственных Изотопов [*X/100]
dsi_part2_objective_copperingots | Начать плавку Медных Слитков [*X/100]
dsi_part2_objective_installdrones | Установить логистических дронов
dsi_part2_objective_installengines | НЕОБЯЗАТЕЛЬНО: Установить двигатели в A.J.E Foundry
dsi_part2_objective_installlasers | Установить шахтерские лазеры
dsi_part2_objective_installscoop | Установить Гиперпространственный Совок
dsi_part2_objective_isotopes | Произвести Стабильные Изотопы [*X/100]
dsi_part2_objective_minecopper | Начать добычу медной руды [*X/100]
dsi_part2_objective_mineminerals | Начать добычу железной руды [*X/100]
dsi_part2_objective_producemotors | Начать изготовление Двигателей [*X/100]
dsi_part2_objective_refinegas | Начать переработку Метреона [*X/100]
dsi_part2_objective_resin | Произвести Смолу Звездных Врат [*X/250]
dsi_part2_objective_sellreminder | Продайте произведенные детали, чтобы отправить их в проект Звездные Врата
dsi_part2_objective_takecontrol | Взять контроль над A.J.E Foundry
dsi_part2_objective_traveltonebula | Доставить Газосборник в Туманность
dsi_part2_objective_unloadisotopes | Начать разгрузку бочек со Стабильными Изотопами [*X/10]
dsi_part2_resinintro1 | Здесь продается корабль, который идеально подходит для нашего предприятия по сбору газа.  Давайте купим его и добавим во флот.
dsi_part2_resinintro2 | Сбор газа - медленный процесс.  Наша цель должна состоять в том, чтобы разместить этот корабль внутри плотной туманности метреона, медленно поглощая газ и перерабатывая его с течением времени.  Как только мы окажемся в туманности, мы не сможем легко модернизировать корабль, поэтому мы хотим настроить его как можно больше заранее.
dsi_part2_resinintro3 | Я переведу больше стартового капитала, и вы сможете оснастить корабль по своему усмотрению.
dsi_part2_resinintro4 | Процесс изготовления Смолы Звездных Врат начинается с Газосборника, собирающего Газ Метреона.  Затем мы направляем его в Химический Завод для производства Обработанного Метреона, затем в Химическую Лабораторию, где можно синтезировать Смолу Звездных Врат.
dsi_part2_resinintro5 | Вам понадобится все это оборудование для начала.  Я бы рекомендовал Газосборники, Химические Заводы и Химические Лаборатории, по крайней мере, по четыре каждого.  Вам также понадобятся Резервуары для буферизации промежуточных продуктов и модернизация Энергосети.
dsi_part2_resinintro6 | Вам, возможно, придется немного поискать, если на местном торговом посту нет всего, что вам нужно.
dsi_part2_resinintro7 | Как только корабль будет готов, соедините его с одним из ваших кораблей, способных к гиперпрыжкам, и прыгните в ближайшую туманность, чтобы начать процесс сбора газа.
dsi_part2_scene_x1 | На нашей фабрике в поясе астероидов назревает ситуация.  Вам лучше взглянуть.
dsi_part2_scene_x2 | Я поговорю с ним.
dsi_part2_scene_x3 | Рэймонд.  Прошло довольно много времени.  Как ты поживаешь?
dsi_part2_scene_x4 | Капитан, я позабочусь об этом.  Моя частная охрана уже в пути.  Я буду удерживать его в разговоре, но нет необходимости в кровопролитии.
dsi_part2_scene_x5 | Ты получил компенсацию за свою работу, Рэймонд.  Ты подписал контракт.
dsi_part2_scene_y1 | Он там?  Александр?  Где он?
dsi_part2_scene_y2 | Я не буду спрашивать снова.  Я требую поговорить с Александром Элистаром.  Немедленно!  Я вооружен!
dsi_part2_scene_y3 | Как я поживаю?  Ты прекрасно знаешь, как я поживал.  Я здесь, чтобы забрать свою долю.
dsi_part2_scene_y4 | Проекты были мои.  Патенты были мои!  Все это, все это построено на моей работе.
dsi_part2_scene_y5 | За гроши!  Ты меня обманул, а теперь это стоит миллионы!
dsi_part2_scene_y6 | Я хочу свою долю.  Впусти меня в дело.  10% владения этим твоим новым предприятием.  Я веду себя разумно, но закон на моей стороне.  Не заставляй меня закрыть тебя, Александр.
dsi_part2_scene_y7 | Ты не оставил мне выбора.
dsi_part2_scene_y8 | Я приду за тобой, Александр, и на этот раз я не прошу 10%. Я хочу все.
dsi_part2_scene_z1 | Это корабль Частной Охраны DOGMA, под эксклюзивным контрактом с A.J.E Industries.
dsi_part2_scene_z2 | Вы действуете опасным и угрожающим образом в окрестностях корпоративного объекта A.J.E.
dsi_part2_scene_z3 | Вам приказано отступить и немедленно уйти.
dsi_part2_scene_z4 | Мы уполномочены конвенцией дальнего космоса на использование смертоносной силы в защиту активов нашего клиента.
dsi_part2_scene_z5 | БОЛЬШЕ ПРЕДУПРЕЖДЕНИЙ НЕ БУДЕТ.
dsi_part2_secondpartcomplete1 | Я уверен, вы заметили, что мы зарабатываем небольшое состояние на всем этом.  По правде говоря, я делаю это не ради дохода.  У меня уже больше, чем я когда-либо смогу потратить.  Но у меня заканчивается время.  Врачи дали мне это ясно понять.
dsi_part2_secondpartcomplete2 | Я уже довольно много лет на этом свете.  У меня была своя доля успеха, построил свою империю, свое состояние.  Я живу комфортной жизнью.  Но я все больше и больше думаю о том, что я хочу сделать с оставшимся временем.
dsi_part2_secondpartcomplete3 | Я просто хочу быть первым в чем-то грандиозном.  Первым человеком, посетившим другую галактику.  Александр Джеймс Элистар.  Это имя, которое люди запомнят.
dsi_part2_summary | Возобновить работу над Звездными Вратами с X
dsi_part2_thirdpartcomplete1 | Мы закончили, Капитан.  Это было невероятное проявление промышленной мощи.  На Рынке никого даже близко к нам нет, и мы, по сути, и есть Проект Андромеда.  Они нуждаются в нас сейчас.
dsi_part2_thirdpartcomplete2 | Давайте сделаем еще один перерыв, и я свяжусь с вами, когда Проект Андромеда выпустит манифест для следующей фазы.
dsi_part2_thirdpartcomplete3 | Вы должны знать, что мои врачи продолжают приносить мне плохие новости.  Каждый раз, когда я разговариваю с ними... что ж, я не знаю, сколько у меня осталось времени.  Это будет мой последний проект.  Я просто надеюсь, что у меня будет время его закончить.
dsi_part2_title | Промышленники Дальнего Космоса, Часть 2
dsi_x_canceldeal1 | Я разочарован, Капитан. Вы отступаете после всех инвестиций, которые я вложил в этот проект?
dsi_x_canceldeal2 | Вы пожалеете об этом.
dsi_x_canceldeal3 | До свидания, Капитан.
dsi_xthanks1 | Спасибо, Капитан.  Я ценю оперативный платеж.
dsi_xthanks2 | Платеж получен, спасибо, Капитан.
dsi_xthanks3 | Я получил свою долю.  Отличная работа, Капитан.
dsi_xwarning1 | Капитан, я вижу, что вы продали партию деталей Звездных Врат, но я не получил соответствующего платежа.  Мы договорились делить всю выручку 50/50.  Эта установка стоит мне целое состояние, и мне нужно начать получать отдачу.  Пожалуйста, переведите средства на мой счет как можно скорее.
dsi_xwarning2 | Капитан, я был уверен, что четко изложил наше соглашение.  Не забывайте, кому принадлежит эта станция и все оборудование на борту.  50/50 - вот о чем мы договорились.
dsi_xwarning2_part1 | Капитан, я был уверен, что четко изложил наше соглашение.  Не забывайте, кому принадлежит эта станция и все оборудование на борту.  50/50 - вот о чем мы договорились.
dsi_xwarning2_part2 | Я думал, что могу вам доверять.  Заплатите мне деньги, которые вы должны, немедленно, или я буду вынужден обострить ситуацию.
dsi_xwarning3 | Капитан, это ваше последнее предупреждение.  Вы сейчас преднамеренно удерживаете выручку от продаж, которая юридически принадлежит мне.  Если вы не заплатите то, что должны, немедленно, у меня не будет выбора, кроме как расторгнуть наше соглашение, захватить контроль над моей станцией и возместить любые финансовые потери непосредственно с вас.
ellipsis | ...
entity_dead | МЕРТВ
entity_death_co2poisoning | Углекислый Газ
entity_death_dehydration | Обезвоживание
entity_death_injury | Смертельная Травма
entity_death_radiation | Радиация
entity_death_starvation | Голод
entity_death_suffocation | Удушье
entity_dehydrated | ОБЕЗВОЖЕН
entity_fainted | В ОБМОРОКЕ
entity_radiation | ОБЛУЧЕН
entity_stunned | ОГЛУШЕН
entity_suffocating | ЗАДЫХАЕТСЯ
entity_suitrequired | ТРЕБУЕТСЯ СКАФАНДР
entity_unconscious | БЕЗ СОЗНАНИЯ
episode_awardreceived | НАГРАДА ПОЛУЧЕНА
episode_episodecompleted | ЭПИЗОД ЗАВЕРШЕН
episode_part1 | ЧАСТЬ 1
episode_part2 | ЧАСТЬ 2
episode_part3 | ЧАСТЬ 3
episode_part4 | ЧАСТЬ 4
episode_part5 | ЧАСТЬ 5
equipment_blocked | ЗАБЛОКИРОВАН
equipment_factory_make | Произвести *X
equipment_factory_refine | Обработать *X
equipment_factory_stop | ОСТАНОВИТЬ
equipment_factory_stopped | ОСТАНОВЛЕН
equipment_output | ВЫХОД
equipment_power | ПИТАНИЕ
equipment_robotarm_forcedrop | ПРИНУДИТЕЛЬНЫЙ СБРОС
equipment_robotarm_nopickup | ВЫБРАТЬ ТИП
equipment_robotarm_pickupnone | НЕТ
equipment_storagecrate_capacity | ВМЕСТИМОСТЬ
equipment_storagecrate_dumping | СБРОС
equipment_storagecrate_permitcrewload | ЗАГРУЗКА ЭКИПАЖЕМ
equipment_storagecrate_permitcrewunload | РАЗГРУЗКА ЭКИПАЖЕМ
equipment_storagecrate_quantity | ХРАНИТСЯ: *X/*Y
equipment_storagecrate_refill_disable | ПРИОРИТЕТ ХРАНИЛИЩУ
equipment_storagecrate_refill_enable | ПРИОРИТЕТ ЗОНАМ
equipment_temperature_short | ТЕМПЕРАТУРА
equipment_weaponsconsole_connected | Управляется Центром Управления Оружием
equipment_weaponsconsole_deselect | НЕТ
equipment_weaponsconsole_extradescription | *X Подключенных орудий
equipment_weaponsconsole_locked | СЛОТ *X ЗАБЛОКИРОВАН
equipment_weaponsconsole_noselection | ВЫБРАТЬ ОРУЖИЕ
evacuationobjective_accepted1 | Каждая колонизированная планета, которую вы посетите, будет иметь гражданских, нуждающихся в эвакуации.
evacuationobjective_accepted2 | Вам нужно будет расширить вашу жилую палубу и даже перейти на корабль побольше в конечном итоге.
evacuationobjective_award | НАГРАДА ЗА ЭВАКУАЦИЮ
evacuationobjective_description1 | Некоторые из наших ученых не верят, что коллапс пустоты когда-либо можно будет остановить.
evacuationobjective_description2 | Если это правда, то миллиарды людей потребуют эвакуации с наших родных планет.
evacuationobjective_description3 | Никогда не было эвакуации такого количества людей одновременно.
evacuationobjective_description4 | И мы даже не знаем, куда мы можем отправиться, чтобы быть в безопасности.
evacuationobjective_nextbonus | Следующий бонус при эвакуации *X гражданских : $*Y.
evacuationobjective_success | Эвакуировано *X гражданских
evacuationobjective_successbonus | Эвакуировано *X гражданских. Бонус финансирования $*Y.
evacuationobjective_title | ОСОБАЯ МИССИЯ: ЭВАКУАЦИЯ
evacuationobjective_total | Вы эвакуировали *X гражданских с обреченных родных миров.
factory_stockpileoutput | НАКАПЛИВАТЬ
factory_stockpileoutput_tooltip | НАКАПЛИВАТЬ\n\nКогда отмечено, произведенные предметы будут немедленно выгружены в любую область хранения груза, накапливая предмет.\n\nЕсли не отмечено, произведенный предмет останется до тех пор, пока не будет где-то использован, или пока не будет доступно конкретное грузовое пространство.
feedback_button | Оставить Отзыв
filedialog_title | Выберите Файл
format_currency | $*X
format_per_square | *X / кв
ftl_galacticjump | Это будет финальное путешествие вашего флота.\nБудьте готовы к долгому путешествию в галактику Андромеды и спасите столько, сколько сможете!
galaxymap_civilians | ГРАЖДАНСКИЕ
galaxymap_colony | КОЛОНИЯ
galaxymap_comet | КОМЕТА
galaxymap_demo | ДЕМО
galaxymap_derelict | ЗАБРОШЕННЫЙ ОБЪЕКТ
galaxymap_distresscall | СИГНАЛ БЕДСТВИЯ
galaxymap_endof | КОНЕЦ
galaxymap_entrysystem | Прибытие
galaxymap_exitsystem | В Следующий Сектор
galaxymap_fleet | ВЫ ЗДЕСЬ
galaxymap_fortress | КРЕПОСТЬ
galaxymap_hostile | ВРАЖДЕБНЫЕ СИЛЫ
galaxymap_jumpgate | ПРЫЖКОВЫЕ ВРАТА
galaxymap_noescape | НЕТ ВЫХОДА
galaxymap_objectives | КОНТРАКТЫ СЕКТОРА
galaxymap_playtest | ТЕСТИРОВАНИЕ
galaxymap_sectorgone | ПОГЛОЩЕНО АНОМАЛИЕЙ
galaxymap_sectornumber | СЕКТОР *X
galaxymap_shipyard | ВЕРФЬ
galaxymap_starbase | ЗВЕЗДНАЯ БАЗА
galaxymap_survivalexit | Доберитесь до ЗВЕЗДНЫХ ВРАТ!
galaxymap_switchsector | Переключить Вид Сектора
galaxymap_title | КАРТА СЕКТОРА
galaxymap_unreachable | НЕДОСТУПНО
hud_abortjump | Отменить Прыжок
hud_aligning | Выравнивание...
hud_battlestations | БОЕВОЙ РЕЖИМ
hud_buyship | КУПИТЬ
hud_cabins | Каюты: *X/*Y
hud_camerattracking | Слежение Камеры
hud_collector_tooltip_gathering | Сбор *X *Y в секунду
hud_collector_tooltip_totalgathered | ВСЕГО СОБРАНО
hud_convertsplittertotrack | [ПКМ] Преобразовать в конвейер
hud_converttracktosplitter | [ПКМ] Преобразовать в разделитель
hud_debugbuild | Отладка
hud_deselectlayer | СНЯТЬ ВЫБОР КОРАБЛЯ
hud_direction_down | Правый Борт
hud_direction_left | Корма
hud_direction_right | Нос
hud_direction_up | Левый Борт
hud_disabled | Отключено
hud_drones_deployed | ВНИМАНИЕ - ДРОНЫ В КОСМОСЕ: *X
hud_editor | РЕДАКТОР
hud_enabled | Включено
hud_endcreativemode | Творческий Режим завершится
hud_endcreativemode2 | Когда вы прыгнете в гиперпространство
hud_endcreativemodefull | Творческий Режим завершится, когда вы прыгнете в гиперпространство
hud_endcreativemodewarning | ВЫХОД ИЗ ТВОРЧЕСКОГО РЕЖИМА
hud_fabricateship | ПОСТРОИТЬ КОРАБЛЬ
hud_ftl | Гипердвигатель
hud_ftl_jump_tooltip | [ПКМ] Прыжок
hud_ftlcharging | Зарядка...
hud_ftlcooldown | Перезарядка...
hud_ftlexcluded | Остаться
hud_ftlincluded | Прыгнуть
hud_ftlloading | Загрузка...
hud_ftlnodestination | НЕТ ПУНКТА НАЗНАЧЕНИЯ
hud_ftlshipnotviablewarning | Кораблю нужен корпус или каркас для перехода в гиперпространство
hud_ftlwaiting | Ожидание...
hud_hyperspace | ГИПЕРПРОСТРАНСТВО
hud_idle | Ожидание
hud_install | Установить
hud_invalidplacement | НЕВЕРНОЕ РАЗМЕЩЕНИЕ
hud_invalidplacement_tooltip | Это оборудование не может правильно функционировать при установке в этой позиции.
hud_jump | ПРЫЖОК
hud_jumpgalaxies | ПОКИНУТЬ ГАЛАКТИКУ
hud_jumpgatedamage | ПРЫЖКОВЫЕ ВРАТА ОТКЛЮЧЕНЫ ИЗ-ЗА ПОВРЕЖДЕНИЙ
hud_jumpgatedistance | ВСЕ КОРАБЛИ ДОЛЖНЫ ВОЙТИ В ПРЫЖКОВЫЕ ВРАТА
hud_jumpgaterequires | ПРЫЖКОВЫЕ ВРАТА НЕДОСТУПНЫ
hud_jumpnextsector | ПРЫГНУТЬ В СЛЕДУЮЩИЙ СЕКТОР
hud_jumpthroughstargate | ПРЫГНУТЬ ЧЕРЕЗ ЗВЕЗДНЫЕ ВРАТА
hud_last_ftl_charge | ВНИМАНИЕ - ПОСЛЕДНЕЕ ГИПЕРТОПЛИВО\nНЕВОЗМОЖНО КУПИТЬ В ПУНКТЕ НАЗНАЧЕНИЯ
hud_layer_derelict | ЗАБРОШЕННЫЙ ОБЪЕКТ
hud_layer_forsale | [ПРОДАЕТСЯ]
hud_layer_hostile | ВРАЖДЕБНЫЕ СИЛЫ
hud_layer_unnaned_system | БЕЗЫМЯННЫЙ
hud_maximumoccupancy | Максимальная Вместимость: *X/*Y
hud_mission_collection | ВНИМАНИЕ - ВЫПОЛНЯЕТСЯ СБОР ПО МИССИИ
hud_noftl | ГИПЕРДВИГАТЕЛЬ НЕ НАЙДЕН
hud_noships | НЕТ ВЫБРАННЫХ КОРАБЛЕЙ
hud_open_tooltip | [ЛКМ] Открыть Окно
hud_orders | ПРИКАЗЫ
hud_outofalignment | Не выровнен...
hud_overlay_atmosphere | Атмосфера
hud_overlay_cables | Кабели
hud_overlay_creativemode | - Творческий Режим -
hud_overlay_exterior | Внешний вид
hud_overlay_habitation | Каюты
hud_overlay_jobs | Задачи
hud_overlay_pipes | Трубы
hud_overlay_radiation | Радиация
hud_overlay_schematic | Схема
hud_overlay_show | Показать
hud_overlay_structure | Структура
hud_overlay_tactical | Тактика
hud_overlay_walls | Стены
hud_overlays | НАЛОЖЕНИЯ
hud_panel_storagecrate_ctrlclick | [CTRL] x9999 Контейнеров
hud_panel_storagecrate_leftclick | [ЛКМ] x1 Контейнер
hud_panel_storagecrate_permitload | Разрешить членам экипажа загружать в это хранилище.\n\nЕсли отключено, то загружать могут только руки робота.
hud_panel_storagecrate_permitunload | Разрешить членам экипажа разгружать из этого хранилища.\n\nЕсли отключено, то разгружать могут только руки робота.
hud_panel_storagecrate_quantity | Количество предметов или стопок выбранного типа, которые хранятся.
hud_panel_storagecrate_selecttype | Тип, который будет хранить хранилище.
hud_panel_storagecrate_shiftclick | [SHIFT] x5 Контейнеров
hud_preparejump | Подготовить Прыжок
hud_preparingjump | Подготовка Прыжка
hud_ready | ГОТОВ
hud_readytojump | Готов к Прыжку
hud_recipes_chooseequipment | ВЫБРАТЬ ОБОРУДОВАНИЕ
hud_recipes_chooseinput | ВЫБРАТЬ ИСТОЧНИК
hud_recipes_goback | ВЕРНУТЬСЯ
hud_removefromtrack | [ПКМ] Убрать с конвейера
hud_repairship | РЕМОНТ
hud_repairyourship | Вам следует отремонтировать повреждения вашего корабля на ВЕРФИ.
hud_scoresystem_population | Население
hud_scoresystem_sectorjump | Прыжок Через Сектор
hud_sellship | ПРОДАТЬ ВАШ КОРАБЛЬ
hud_shipforsale | КОРАБЛЬ ПРОДАЕТСЯ
hud_shipmaximumoccupancy | Максимальная Вместимость Корабля: *X/*Y
hud_shipyard | Верфь
hud_shipyard_buildarmour | Установить Броню
hud_shipyard_buildbuyfromlibrary | Купить корабль
hud_shipyard_buildhabitation | Добавить Жилой Отсек
hud_shipyard_buildhull | Построить Корпус
hud_shipyard_buildinterior | Построить Интерьер
hud_shipyard_buildrepairall | Починить ВСЕ Повреждения
hud_shipyard_buildrepairone | Починить 100 Повреждений
hud_shipyard_buildscaffold | Построить Каркас
hud_shipyard_costofrepairs | Стоимость ремонта
hud_shipyard_repairship | Отремонтировать Корабль
hud_shipyard_selectship | Выберите корабль
hud_shipyardservices | УСЛУГИ ВЕРФИ
hud_spacewalking_crew | ВНИМАНИЕ - ЭКИПАЖ В КОСМОСЕ: *X
hud_status_allocated | Назначено
hud_status_inprogress | В Процессе
hud_storage | Хранилище
hud_storage_cargo | ЛЮБОЙ ГРУЗ
hud_storage_component | Любые Компоненты
hud_storage_equipment | ОБОРУДОВАНИЕ
hud_storagecrate_tooltip_capacity | Вместимость: *X
hud_storagecrate_tooltip_dumping | Выгрузка *X
hud_storagecrate_tooltip_quantity | Количество: *X
hud_storagecrate_tooltip_remaining | Осталось Количество: *X
hud_storagecrate_tooltip_storing | Хранение *X
hud_surveyinprogress | ВНИМАНИЕ - ИССЛЕДОВАНИЕ БУДЕТ ОТМЕНЕНО
hud_tactical | ТАКТИКА ({ToggleTactical})
hud_techtree_tooltip | Исследуется:
hud_toandromeda | В ГАЛАКТИКУ АНДРОМЕДЫ
hud_tooltip_boxed | [УПАКОВАНО]
hud_tooltip_charge | Зарядить
hud_tooltip_joinpipes | [ЛКМ] Соединить Трубы
hud_tooltip_leftclickbuild | [ЛКМ] Построить
hud_tooltip_leftclickchangerecipe | [ЛКМ] Сменить рецепт
hud_tooltip_leftclickdismantle | [ЛКМ] Разобрать
hud_tooltip_leftclickerase | [ЛКМ] Стереть
hud_tooltip_leftclickplace | [ЛКМ] Разместить
hud_tooltip_leftclickresearch | [ЛКМ] Исследовать
hud_tooltip_rightclickcancel | [ПКМ] Отменить
hud_tooltip_rightclickclear | [ПКМ] Очистить
hud_tooltip_rightclickconfigure | [ПКМ] Настроить
hud_tooltip_rightclickdelete | [ПКМ] Удалить
hud_tooltip_rightclickpurge | [ПКМ] Очистить
hud_tooltip_rotate | [{RotateObject}] Повернуть
hud_tooltip_separatepipes | [ЛКМ] Разделить Трубы
hud_totalconsumption | ОБЩЕЕ ПОТРЕБЛЕНИЕ
hud_totalproduction | ОБЩЕЕ ПРОИЗВОДСТВО
hud_trade | Торговля
hud_trade_hint | Вы должны прибыть в Колонию или на Верфь для торговли
hud_trade_incoming | ВНИМАНИЕ - ИДЕТ ТОРГОВЛЯ
hud_trade_owed | ВНИМАНИЕ - ТОРГОВЫЙ ДОЛГ
hud_uninstall | Разобрать
hud_window_construction | СТРОИТЕЛЬСТВО
hud_window_designation | НАЗНАЧЕНИЕ
hud_window_editor | РЕДАКТОР
hud_window_ftl | ГИПЕРПРЫЖОК
hud_window_logistics | ЛОГИСТИКА
hud_window_missions | КОНТРАКТЫ
hud_window_orders | ПРИКАЗЫ
hud_window_power | ЭНЕРГОСЕТЬ
hud_window_recipes | РЕЦЕПТЫ
hud_window_score | СЧЕТ
hud_window_sectormap | КАРТА СЕКТОРА ({ToggleMap})
hud_window_shipyard | ВЕРФЬ
hud_window_stargate | ЗВЕЗДНЫЕ ВРАТА
hud_window_storage | ЗОНЫ ХРАНЕНИЯ
hud_window_techtree | ИССЛЕДОВАНИЯ
hud_window_trade | ТОРГОВЛЯ
hud_zones | Зоны
hudmode_external | ВНЕШНИЙ
hudmode_multisystemsimulation | МУЛЬТИСИСТЕМНАЯ СИМУЛЯЦИЯ
hudmode_tactical | ТАКТИКА
intergalactic_travel | МЕЖГАЛАКТИЧЕСКОЕ ПУТЕШЕСТВИЕ
interstellar_travel | МЕЖЗВЕЗДНОЕ ПУТЕШЕСТВИЕ
keybinding_alttool | Доп. Инструмент Редактора
keybinding_decreasethrust | Уменьшить Тягу
keybinding_gamespeed0 | 0.5x Скорость
keybinding_gamespeed1 | 1x Скорость
keybinding_gamespeed2 | 2x Скорость
keybinding_gamespeed3 | 3x Скорость
keybinding_gamespeed4 | 4x Скорость
keybinding_gamespeed5 | 5x Скорость
keybinding_gamespeed6 | 6x Скорость
keybinding_gamespeed7 | 7x Скорость
keybinding_gamespeed8 | 8x Скорость
keybinding_gamespeed9 | 9x Скорость
keybinding_hudscaledown | Уменьшение Масштаба
keybinding_hudscaleup | Увеличение Масштаба
keybinding_increasethrust | Увеличить Тягу
keybinding_ManoeuvreClockwise | Вращение По Часовой
keybinding_ManoeuvreCounterClockwise | Вращение Против Часовой
keybinding_ManoeuvreDown | Тяга Вниз
keybinding_ManoeuvreLeft | Тяга Влево
keybinding_ManoeuvreRight | Тяга Вправо
keybinding_ManoeuvreUp | Тяга Вверх
keybinding_pandown1 | Камера Вниз (1)
keybinding_pandown2 | Камера Вниз (2)
keybinding_panleft1 | Камера Влево (1)
keybinding_panleft2 | Камера Влево (2)
keybinding_panright1 | Камера Вправо (1)
keybinding_panright2 | Камера Вправо (2)
keybinding_panup1 | Камера Вверх (1)
keybinding_panup2 | Камера Вверх (2)
keybinding_press_a_key | НАЖМИТЕ КЛАВИШУ
keybinding_recentrehome | Центрировать Корабль
keybinding_revert | СБРОС
keybinding_rotateobject | Повернуть Объект
keybinding_takescreenshot | Скриншот (+ {MetaCtrl})
keybinding_title_action | Действие
keybinding_title_key | Клавиша
keybinding_togglemap | Карта Сектора
keybinding_togglepause | Пауза
keybinding_toggletactical | Тактический Режим
keybinding_translatorwindow | Окно Переводчика
keybinding_zoomin | Приблизить
keybinding_zoomout | Отдалить
language_helpustranslate | Помогите Нам С Переводом!
language_system | Системный
legal_button | Юридическая Информация
loader_auto | АВТО
loader_mode_load | Загрузить
loader_mode_stop | Стоп
loader_mode_unload | Выгрузить
logistics_tooltip_cancel_transfer | [ПКМ] Отменить 1 из *X
logistics_tooltip_modifiers | Модификаторы:
logistics_tooltip_transfer | [ЛКМ] Передать 1 из *X
logisticswindow_title | ЛОГИСТИКА
mainmenu_abandongame | Покинуть Игру
mainmenu_arena_caption | Создавайте эпические космические сражения между флотами кораблей и наблюдайте за разворачивающейся бойней.
mainmenu_createship | РАЗРАБОТЧИК Создать Корабль
mainmenu_exportship | Экспортировать Корабль
mainmenu_gamemode_arena | Арена
mainmenu_gamemode_arena_tooltip | Создавайте эпические космические сражения между флотами кораблей и наблюдайте за разворачивающейся бойней.
mainmenu_gamemode_creative | Творческий Режим
mainmenu_gamemode_creative_tooltip | У вас есть неограниченные ресурсы для постройки любого корабля, какого захотите
mainmenu_gamemode_freeroam | Свободная Игра
mainmenu_gamemode_freeroam_locked | Постройте готовый к полету корабль в Творческом Режиме для разблокировки
mainmenu_gamemode_freeroam_tooltip | Вы свободны выбирать любую карьеру в своем темпе. Никаких аномалий, никаких звездных врат.
mainmenu_gamemode_industry | СМЕЛО ВПЕРЕД
mainmenu_gamemode_industry_old | ЗВЕЗДНЫЕ ВРАТА
mainmenu_gamemode_industry_tooltip | Отправьтесь в новое путешествие через наши сюжетные научно-фантастические эпизоды
mainmenu_gamemode_industry_tooltip_old | Ваша цель — исследовать и построить звездные врата в Андромеду
mainmenu_gamemode_survival | Выживание
mainmenu_gamemode_survival_locked | Завершите любой сюжетный эпизод в 'Смело Вперед' для разблокировки
mainmenu_gamemode_survival_tooltip | Оставайтесь на шаг впереди разрушительной аномалии так долго, как сможете
mainmenu_gamemode_unlocked | РАЗБЛОКИРОВАНО
mainmenu_gamemode_unlocked_freeroam | Режим Игры: Свободная Игра
mainmenu_gamemode_unlocked_survival | Режим Игры: Выживание
mainmenu_importfriendly | Импортировать Дружественный Корабль
mainmenu_importhostile | Импортировать Вражеский Корабль
mainmenu_importship | Импортировать Корабль
mainmenu_legal | Конфиденциальность / Правовая Информация
mainmenu_loadgame | Загрузить Игру
mainmenu_loadgamedev | РАЗРАБОТЧИК Загрузить Тестовую Игру
mainmenu_loadship | РАЗРАБОТЧИК Загрузить Корабль
mainmenu_newgameA | Новая Игра - Praxis
mainmenu_newgameB | Новая Игра - Sleek
mainmenu_newgameC | Новая Игра - Inner Shapes
mainmenu_newgameD | Новая Игра - Shipyard
mainmenu_newgameE | Новая Игра - Large Logistics
mainmenu_quit | Выход
mainmenu_savegame | Сохранить Игру
mainmenu_stargate_caption | Прокладывайте свой путь через сюжетные эпизоды по всему сектору и примите участие в строительстве галактического мегапроекта
mainmenu_stargate_caption_old | Примите участие в строительстве галактического мегапроекта - ЗВЕЗДНЫХ ВРАТ с достаточной дальностью, чтобы достичь нашей ближайшей соседней галактики АНДРОМЕДЫ
mainmenu_steamworkshop | Мастерская Steam
mainmenu_survival_caption | Оставайтесь на шаг впереди разрушительной аномалии, поглощающей все на своем пути, и спасите как можно больше, пока не стало слишком поздно
mainmenu_title | Главное Меню
mainmenu_tools | Инструменты Разработчика
mission_accept | Принять
mission_accepted | Принято
mission_acceptonlayer | Принять и назначить *X
mission_arenaprep_summary | Подготовьте свой корабль и экипаж к предстоящей битве!\nВозобновление игры начнет бой.
mission_arenaprep_title | Приготовьтесь к битве!
mission_arenaprep_useeditor | ОПЦИОНАЛЬНО: Используйте редактор кораблей для подготовки
mission_assignedto | (Назначено *X)
mission_assignedtolayer | Принято и назначено L*X
mission_bypassed | ПРОЙДЕНО
mission_cannotaccept | Вы не можете принять эту миссию
