mission_accept | Accept | Принять
mission_sectorrescue_rescued | *X crew out of *Y have been rescued and are on board. | *X членов экипажа из *Y были спасены и находятся на борту.
mission_sectorrescue_spin | The ship is spinning out of control. It will be very challenging to dock. (+25% pay) | Корабль бесконтрольно вращается. Будет очень сложно пристыковаться. (+25% оплата)
mission_sectorrescue_success | RESCUE COMPLETED | СПАСЕНИЕ ЗАВЕРШЕНО
mission_sectorrescue_thrust | The ship is moving - you will need some skill to dock safely. (+25% pay) | Корабль движется - вам понадобится некоторое мастерство для безопасной стыковки. (+25% оплата)
mission_sectorrescue_thrusters | NB. YOU WILL NEED AT LEAST FOUR THRUSTERS TO MANOEUVRE INTO POSITION. | ПРИМЕЧАНИЕ. ВАМ ПОНАДОБИТСЯ КАК МИНИМУМ ЧЕТЫРЕ МАНЕВРОВЫХ ДВИГАТЕЛЯ ДЛЯ МАНЕВРИРОВАНИЯ В ПОЗИЦИЮ.
mission_sectorrescue_timed | The ship engines will explode very soon. (+25% pay). | Двигатели корабля скоро взорвутся. (+25% оплата).
mission_sectorrescue_timer | The ship engine core will explode in just *X seconds!! | Ядро двигателя корабля взорвется всего через *X секунд!!
mission_sectorrescue_title | SECTOR OBJECTIVE: Rescue civilians from wrecked ship | ЗАДАЧА СЕКТОРА: Спасти гражданских с разбитого корабля
mission_show_completed | SHOW COMPLETED | ПОКАЗАТЬ ЗАВЕРШЕННЫЕ
mission_showonmap | SHOW ON MAP | ПОКАЗАТЬ НА КАРТЕ
mission_special | Special Mission | Особая Миссия
mission_tiddlets_accepted | Excellent. We are sending a shuttle to you now. | Отлично. Мы отправляем к вам челнок прямо сейчас.
mission_tiddlets_accepted1 | Thank you very much for helping us with these unique creatures. If I'm honest, we have struggled to find a captain who was willing to undertake this mission. | Большое спасибо за помощь с этими уникальными существами. Честно говоря, нам было трудно найти капитана, который был бы готов взяться за эту миссию.
mission_tiddlets_accepted2 | We have left you with a litter of eight female Tiddlets, along with some comfortable crates for them to sleep in. | Мы оставили вам помет из восьми самок Тиддлетов, а также несколько удобных ящиков для их сна.
mission_tiddlets_accepted3 | Please take very good care of them! | Пожалуйста, очень хорошо заботьтесь о них!
mission_tiddlets_alldelivered | We have received all of your Tiddlets. Thank you so much! | Мы получили всех ваших Тиддлетов. Большое спасибо!
mission_tiddlets_alldelivered1 | All 8 Tiddlets have been delivered. | Все 8 Тиддлетов были доставлены.
mission_tiddlets_alldelivered2 | Now, there is one crucial detail you must adhere to, in order to safely transport these Tiddlets. | Теперь есть одна важная деталь, которой вы должны придерживаться, чтобы безопасно перевезти этих Тиддлетов.
mission_tiddlets_alldelivered3 | They can survive up to *X seconds in hyperspace safely, but anything beyond that risks them dying of shock. | Они могут безопасно выживать в гиперпространстве до *X секунд, но все, что превышает это, рискует привести к их смерти от шока.
mission_tiddlets_alldelivered4 | Please be very careful when choosing your hyperspace route. | Пожалуйста, будьте очень осторожны при выборе вашего гиперпространственного маршрута.
mission_tiddlets_dead | There are now *X dead tiddlets on board | Теперь на борту *X мертвых Тиддлетов
mission_tiddlets_delivered | We have delivered *X out of 8 Tiddlets. | Мы доставили *X из 8 Тиддлетов.
mission_tiddlets_description1 | We need a transport vessel to ferry a litter of lovable, rare live animals to a sanctuary, many jumps away. | Нам нужен транспортный корабль для перевозки помета милых, редких живых животных в заповедник, находящийся во многих прыжках отсюда.
mission_tiddlets_description2 | The animals aren't dangerous, but they do have some special requirements that must be closely followed or they will not survive the journey. | Животные не опасны, но у них есть некоторые особые требования, которым необходимо строго следовать, иначе они не переживут путешествие.
mission_tiddlets_description3 | We will pay $*X if the entire litter is delivered safely. | Мы заплатим $*X, если весь помет будет доставлен благополучно.
mission_tiddlets_extrareward1 | Since you delivered an entirely new litter to us, we thought it only fair to reward you with a gift. | Поскольку вы доставили нам совершенно новый помет, мы сочли справедливым наградить вас подарком.
mission_tiddlets_extrareward2 | We have sent you a couple of prototype Long Range Hyperspace Sensors. They are much more sensitive than the standard model. We hope you find them useful. | Мы отправили вам пару прототипов Гиперпространственных Сенсоров LR. Они намного более чувствительны, чем стандартная модель. Мы надеемся, что они окажутся полезными.
mission_tiddlets_extras | We have now received an additional *X Tiddlets! | Мы теперь получили дополнительно *X Тиддлетов!
mission_tiddlets_failure | What the hell happened? We trusted you with those Tiddlets and you let us down! | Что, черт возьми, случилось? Мы доверили вам этих Тиддлетов, а вы нас подвели!
mission_tiddlets_invite1 | Greetings! We are looking for a pilot who can help us with an important animal welfare matter. | Приветствуем! Мы ищем пилота, который сможет помочь нам с важным вопросом благополучия животных.
mission_tiddlets_invite2 | If you'd like to help (and earn a lot of credits) please find our job in the CONTRACTS list. | Если вы хотите помочь (и заработать много кредитов), пожалуйста, найдите нашу работу в списке КОНТРАКТЫ.
mission_tiddlets_notenough | But we trusted you to look after their safety. You've let us down. | Но мы доверили вам заботиться об их безопасности. Вы нас подвели.
mission_tiddlets_payment | We have safely received *X out of 8 Tiddlets - Payment due $*Y | Мы благополучно получили *X из 8 Тиддлетов - Причитающаяся оплата $*Y
mission_tiddlets_reproduction1 | Oh my goodness! We were certain all 8 were female, but clearly we made a mistake. | О боже! Мы были уверены, что все 8 были самками, но явно совершили ошибку.
mission_tiddlets_reproduction2 | We would suggest you separate them, but tiddlets reproduce telepathically, and only ever during hyperspace travel. | Мы бы предложили вам разделить их, но Тиддлеты размножаются телепатически и только во время гиперпространственного путешествия.
mission_tiddlets_saferadius | TIDDLET SAFE DISTANCE | БЕЗОПАСНОЕ РАССТОЯНИЕ ДЛЯ ТИДДЛЕТОВ
mission_tiddlets_shock | Oh my goodness!! There are so many of them! | О боже!! Их так много!
mission_tiddlets_stillalive | Tiddlets still alive : *X | Тиддлетов все еще живо : *X
mission_tiddlets_success | Delivered *X Tiddlets | Доставлено *X Тиддлетов
mission_tiddlets_suppliername | Tiddlet Breeder | Заводчик Тиддлетов
mission_tiddlets_title | The trouble with Tiddlets | Проблемы с Тиддлетами
mission_tiddletssale_accepted1 | If you have Tiddlets available then bring them to us and we will reward you handsomely. | Если у вас есть доступные Тиддлеты, то принесите их нам, и мы щедро вознаградим вас.
mission_tiddletssale_accepted2 | We won't ask any questions as to where they came from. But we will need every Tiddlet you have - so we can be sure there is at least one male among the litter. | Мы не будем задавать вопросов о том, откуда они взялись. Но нам понадобится каждый Тиддлет, который у вас есть - чтобы мы могли быть уверены, что среди помета есть хотя бы один самец.
mission_tiddletssale_allreceived | Well, thank you very much. With this many Tiddlets we can begin farming these delicious creatures immediately. | Что ж, большое спасибо. С таким количеством Тиддлетов мы можем немедленно начать разводить этих вкусных существ.
mission_tiddletssale_buyername | Shady Buyer | Подозрительный Покупатель
mission_tiddletssale_description1 | We are willing to pay a very generous price to any individual who can supply us with one or more Tiddlets. | Мы готовы заплатить очень щедрую цену любому, кто сможет снабдить нас одним или несколькими Тиддлетами.
mission_tiddletssale_fulloffer | We are offering you $*Y for all *X of your Tiddlets. | Мы предлагаем вам $*Y за всех ваших *X Тиддлетов.
mission_tiddletssale_invite1 | We've heard a rumour you might have some rare, valuable life-forms on board. | Мы слышали слух, что у вас на борту могут быть редкие, ценные формы жизни.
mission_tiddletssale_invite2 | Stop by your nearest Contract Board and we might be able to make a deal. | Загляните на ближайшую Доску Контрактов, и мы, возможно, сможем заключить сделку.
mission_tiddletssale_offer | We will pay $*X for every Tiddlet you have. | Мы заплатим $*X за каждого Тиддлета, который у вас есть.
mission_tiddletssale_received | We have received *X Tiddlets. Total payment due $*Y. | Мы получили *X Тиддлетов. Общая причитающаяся оплата $*Y.
mission_tiddletssale_success | Traded *X Tiddlets | Продано *X Тиддлетов
mission_tiddletssale_title | WANTED: Tiddlets | ТРЕБУЮТСЯ: Тиддлеты
mission_turnin | Turn in contract | Сдать контракт
mission_type_combat | Combat | Бой
mission_type_delivery | Delivery | Доставка
mission_type_episodetiddlets | Deliver Tiddlets | Доставить Тиддлетов
mission_type_episodetiddletssale | WANTED: Tiddlets | ТРЕБУЮТСЯ: Тиддлеты
mission_type_fortress | Destroy Hostile Fortress | Уничтожить Вражескую Крепость
mission_type_industry | Asteroid Mining | Добыча На Астероидах
mission_type_passengers | Transport passengers | Перевозка пассажиров
mission_type_production | Production | Производство
mission_type_refugees | Refugees | Беженцы
mission_type_rescue | Rescue | Спасение
mission_type_SectorDestroy | Destroy Hostile Forces | Уничтожить Вражеские Силы
mission_type_sectorevacuate | Evacuate Sector | Эвакуировать Сектор
mission_type_sectorjumpgate | Jumpgate (Sector) | Прыжковые Врата (Сектор)
mission_type_SectorProtect | Protect (Sector) | Защитить (Сектор)
mission_type_SectorRescue | Rescue (Sector) | Спасти (Сектор)
mission_type_tutorialflightready | DESTINATION | МЕСТО НАЗНАЧЕНИЯ
mission_youarehere | YOU ARE HERE | ВЫ ЗДЕСЬ
