tutorial_air_title | OXYGEN | КИСЛОРОД
tutorial_miningsetsmelter | Right click on the SMELTER and select TILIUM ORE to smelt it into Tilium Crystals. | Щелкните правой кнопкой мыши на ПЛАВИЛЬНОЙ ПЕЧИ и выберите ТИЛИЕВАЯ РУДА, чтобы переплавить его в Тилиевые кристаллы.
tutorial_miningstart | We are now going to learn how to mine and collect resources from asteroids. | Сейчас мы научимся добывать и собирать ресурсы с астероидов.
tutorial_miningsuccess | Well done, you have produced Tilium Cystals. | Молодец, вы получили Тилиевые кристаллы.
tutorial_miningswitchtotactical | Switch to tactical mode. | Переключитесь в тактический режим.
tutorial_miningundock | Make sure to UNDOCK from any other ship (from the TACTICAL screen). | Не забудьте отстыковаться от любого другого корабля (на экране TACTICAL).
tutorial_miningwaitsmelter | Perfect! Now wait for your smelter to smelt the Tilium Ore. | Отлично! Теперь подождите, пока Плавильная печь выплавит Тилиевую руду.
tutorial_next | NEXT | СЛЕДУЮЩИЙ
tutorial_power_title | INSTALLING POWER | УСТАНОВКА ПИТАНИЯ
tutorial_power_titlecomplete | POWER INSTALLED | УСТАНОВКА ПИТАНИЯ
tutorial_powerinstallmenu | Let's begin by installing a REACTOR, to generate power for our ship.\n\nClick into the CONSTRUCTION menu, then click INSTALL. | Начнем с установки РЕАКТОРА, который будет вырабатывать энергию для нашего корабля.\n\nЗаходим в меню CONSTRUCTION, затем нажимаем INSTALL.
tutorial_powerpipeconnect | Drag a pipe from the FUEL LOADER to the REACTOR, connecting the yellow pipe circles.\n\nFUEL PIPES are used to connect the output from one piece of equipment into the input of another.\n\nFUEL PIPES are yellow and must connect the yellow circles on equipment. | Перетащите трубу от Погрузчика топлива к РЕАКТОРУ, соединив желтые круги на трубе.\n\nТрубы используются для соединения выхода одного Оборудования с входом другого.\n\nТрубы желтого цвета и должны соединять желтые круги на Оборудовании.
tutorial_powerplaceloader | Stamp the FUEL LOADER down somewhere near the REACTOR. | Прикрепите Погрузчик топлива где-нибудь рядом с Реактором.
tutorial_powerplacereactor | Stamp the REACTOR down inside your ship. | Вставьте РЕАКТОР внутрь корабля.
tutorial_powerreactoractive | The REACTOR is activated! We are now generating power for our ship. | Реактор активирован! Теперь мы вырабатываем энергию для нашего корабля.
tutorial_powerreactorinprogress | Your crew will install the REACTOR. | Ваш экипаж установит РЕАКТОР.
tutorial_powerreactorpowerup | The REACTOR is starting up. | РЕАКТОР запускается.
tutorial_powerselectloader | The REACTOR needs FUEL, and we use a FUEL LOADER to pump it to the REACTOR.\n\nSelect the FUEL LOADER from the Construction menu. | Реактору нужно Топливо, и мы используем Погрузчик топлива, чтобы закачать его в Реактор.\n\nВыберите Погрузчик топлива из меню Строительство.
tutorial_powerselectpipes | We need to connect the FUEL LOADER to the REACTOR, using a Pipe.\n\nSelect PIPES from the Construction Menu. | Нам нужно соединить Погрузчик топлива с Реактором с помощью трубы.\n\nВыберите ТРУБЫ из меню КОНСТРУКЦИЯ.
tutorial_powerselectreactor | This is all the boxed equipment you have available on-board.\n\nSelect REACTOR from the list. | Здесь находится все имеющееся у вас на борту Оборудование.\n\nВыберите РЕАКТОР из списка.
tutorial_productionstart | We are now going to learn how to produce STARGATE FRAMES. | Теперь мы узнаем, как изготавливать РАМЫ ЗВЕЗДНЫХ ВРАТ.
tutorial_productionsuccess | Well done, you are now all set to produce STARGATE FRAMES. | Молодцы, теперь вы готовы к изготовлению РАМ ЗВЕЗДНЫХ ВРАТ.
tutorial_resin_title | GAS COLLECTORS | ГАЗОВЫЕ КОЛЛЕКТОРЫ
tutorial_resinchemicallabrecipe | Right click on the CHEMICAL LAB and set its recipe to MAKE STARGATE RESIN. | Щелкните правой кнопкой мыши на ХИМИЧЕСКОЙ ЛАБОРАТОРИИ и установите рецепт на ИЗГОТОВЛЕНИЕ СМОЛЫ ЗВЕЗДНЫХ ВРАТ.
tutorial_resinconnectchemicallab | Connect the REFINERY to the CHEMICAL LAB with a PIPE. | Соедините Химический завод с Химической лабораторией трубой.
tutorial_resinconnectgascollector | Connect the GAS COLLECTOR to the REFINERY with a PIPE. | Соедините Газосборник с Химическим заводом с помощью трубы.
tutorial_resininstallgascollector | Install the GAS COLLECTOR, REFINERY and CHEMICAL LAB so that they are close to each other. | Установите Газосборник, Химический завод и Химическую лабораторию так, чтобы они находились рядом друг с другом.
tutorial_resinintro | Turning our attention back to the Stargate, the Stargate project also requires us to produce STARGATE RESIN.\n\nWe are going to use the INDUSTRIOUS to collect METREON GAS, refine it, and process it into STARGATE RESIN. | Возвращаясь к Звездным Вратам, скажу, что проект Звездных Врат также требует от нас производства СМОЛЫ ЗВЕЗДНЫХ ВРАТ.\n\nМы будем использовать ИНДУСТРИЮ для сбора Газа Метреона, его переработки и получения СМОЛЫ ЗВЕЗДНЫХ ВРАТ.
tutorial_resinintro2 | Raise enough money to purchase for INDUSTRIOUS:\n\n- 1x GAS COLLECTOR\n- 1x REFINERY\n- 1x CHEMICAL LAB | Соберите достаточно денег, чтобы купить для ИНДУСТРИИ:\n\n- 1x Газосборник\n- 1x Химический завод\n- 1x Химическая лаборатория
tutorial_resinjumptonebula | Close the sector map and use the FTL Window to jump the INDUSTRIOUS to the nebula. | Закройте карту сектора и используйте окно сверхсветовой скорости, чтобы переместить INDUSTRIOUS в туманность.
tutorial_resinpowerup | Power up the GAS COLLECTOR, REFINERY and CHEMICAL LAB. | Включите Газосборник, Химический завод и Химическую лабораторию.
tutorial_resinrefineryrecipe | Right click on the REFINERY and set its recipe to REFINE METREON GAS. | Щелкните правой кнопкой мыши на Химическом заводе и установите для него рецепт Переработать Газ Метреона.
tutorial_resinselectnebula | Before we can start collecting the METREON GAS, we need to move the INDUSTRIOUS to a system containing a GAS CLOUD.\n\nUse the SECTOR MAP to select a suitable destination. | Прежде чем мы сможем начать сбор Газа Метреона, нам нужно переместить ИНДУСТРИЮ в систему, содержащую газовое облако.\n\nИспользуйте карту сектора, чтобы выбрать подходящее место.
tutorial_resinstart | We are now going to learn how to produce STARGATE RESIN. | Сейчас мы узнаем, как произвести СМОЛУ ЗВЕЗДНЫХ ВРАТ.
tutorial_resinsuccess | Well done, you have started to produce STARGATE RESIN.\n\nWhen you have produced enough, travel back to any COLONY, SHIP YARD or the STARGATE system to sell it to the STARGATE PROJECT. | Молодцы, вы начали производить СМОЛУ ЗВЕЗДНЫХ ВРАТ.\n\nКогда вы произведете достаточно, возвращайтесь в любую КОЛОНИЮ, на корабельную верфь или в систему СТАРГАТ, чтобы продать ее СТАРГАТСКОМУ ПРОЕКТУ.
tutorial_smelters_title | SMELTERS | ПЛАВИЛЬНЫЕ ПЕЧИ
tutorial_smeltersbuild | But we do have plenty of SCRAP METAL, and we can melt that down in a SMELTER.\n\nBuild a SMELTER somewhere near the production line. | Но у нас много МЕТАЛЛОЛОМА, и мы можем переплавить его в ПЛАВИЛЬНОЙ ПЕЧИ.\n\nПостройте ПЛАВИЛЬНУЮ ПЕЧЬ где-нибудь рядом с производственной линией.
tutorial_smeltersdismantle | There is a ton of RUINED EQUIPMENT around this old station, that we can break down into SCRAP METAL.\n\nSelect DISMANTLE from the CONSTRUCTION toolbar. | Вокруг этой старой станции есть куча ИСПОРЧЕННОГО ОБОРУДОВАНИЯ, которое мы можем разобрать на МЕТАЛЛОЛОМ.\n\nВыберите ДЕМОНТИРОВАТЬ на панели инструментов СТРОИТЕЛЬСТВО.
tutorial_smeltersintroduction | We are going to need a lot of METAL INGOTS if we're to make enough of those STARGATE FRAMES.\n\nWe don't have many METAL INGOTS on board, and will run out soon. | Нам понадобится много ЖЕЛЕЗНЫХ СЛИТКОВ, если мы хотим сделать достаточное количество этих РАМ ЗВЕЗДНЫХ ВРАТ.\n\nУ нас на борту не так много ЖЕЛЕЗНЫХ СЛИТКОВ, и они скоро закончатся.
tutorial_smeltersoperational | The crew will now load in all the SCRAP METAL and smelt it into much more useful METAL INGOTS. | Теперь экипаж будет загружать весь МЕТАЛЛОЛОМ и переплавлять его в гораздо более полезные ЖЕЛЕЗНЫЕ СЛИТКИ.
tutorial_smelterspower | Connect the smelters to the REACTOR using POWER CABLES | Подключите Плавильные печи к Реактору с помощью кабелей питания
tutorial_smelterssalvage | Click on the nearby RUINED EQUIPMENT to instruct your crew to dismantle it into SCRAP METAL. | Щелкните по ближайшему РАЗРУШЕННОМУ ОБОРУДОВАНИЮ, чтобы поручить своему экипажу разобрать его на МЕТАЛЛОЛОМ.
tutorial_smeltersscrapmetal | Right click on the SMELTER and set its material to be SCRAP METAL. | Щелкните правой кнопкой мыши на ПЛАВИЛЬНОЙ ПЕЧИ и установите для нее материал МЕТАЛЛОЛОМ.
tutorial_smeltersstoragedone | The crew will move all the SCRAP METAL into this zone. | Экипаж переместит весь МЕТАЛЛОЛОМ в эту зону.
tutorial_smeltersstoragetoolbar | We can make things more efficient for our crew by telling them to store SCRAP METAL near to the SMELTER.\n\nSelect STORAGE from the CONSTRUCTION toolbar, then select SCRAP METAL from the list. | Мы можем сделать все более эффективным для нашего экипажа, сказав им хранить МЕТАЛЛОЛОМ рядом с ПЛАВИЛЬНОЙ ПЕЧЬЮ.\n\nВыберите ХРАНИЛИЩЕ на панели инструментов СТРОИТЕЛЬСТВО, затем выберите МЕТАЛЛОЛОМ из списка.
tutorial_smeltersstorageworld | Now drag out a storage zone near to the SMELTER. | Теперь перетащите зону хранения рядом с ПЛАВИЛЬНОЙ ПЕЧЬЮ.
tutorial_stargatejump_title | STARGATE JUMPING | ПРЫЖКИ ЧЕРЕЗ ЗВЕЗДНЫЕ ВРАТА
tutorial_stargatejumpabortjump | We will need to abort the jump that's currently planned. | Придется отменить прыжок, который сейчас запланирован.
tutorial_stargatejumphighlightalign | When no jump is planned on the sector map, you can align your fleet for a Stargate jump. | Когда на карте сектора не запланирован прыжок, вы можете выстроить свой флот для прыжка через Звездные врата.
tutorial_stargatejumphighlightaligning | Great! The selected ships will now align for the jump. | Отлично! Теперь выбранные корабли выровняются для прыжка.
tutorial_stargatejumphighlightjump | Your fleet is ready to jump to the new sector!\n\nYou can come back to this sector by performing another Stargate jump. | Ваш флот готов к прыжку в новый сектор!\n\nВы можете вернуться в этот сектор, совершив еще один прыжок через Звездные врата.
tutorial_stargatejumpintro | The Stargate enables travel between different sectors.\n\nThe jump costs a single FTL charge and the Stargate will use more power while a jump is in progress. | Звездные врата позволяют путешествовать между разными секторами.\n\nПрыжок стоит один сверхсветовой заряд, и Звездные врата будут потреблять больше энергии, пока идет прыжок.
tutorial_stargatejumpnopower | The Stargate currently has lost power and needs to be started again.\n\nUse energy transmitters to power the Stargate.\n\nWhen the Stargate is ready, we will try again! | В настоящее время Звездные врата потеряли энергию и должны быть запущены снова.\n\nИспользуй передатчики энергии, чтобы запитать Звездные врата.\n\nКогда Звездные врата будут готовы, мы повторим попытку!
tutorial_stargatejumpopenftl | First, let's open the FTL window. | Для начала давай откроем окно СВЕРХСВЕТОВОЙ ПРИВОД.
tutorial_stargatejumpselectsystem | Let's have a look at your ship in the Stargate system.\n\nStargate jumps can only be performed from the Stargate system. | Давайте посмотрим на ваш корабль в системе Звездных Врат.\n\nПрыжки через Звездные Врата можно совершать только из системы Звездных Врат.
tutorial_stargatejumpstart | We are now going to learn how to jump using the newly powered-up Stargate. | Сейчас мы научимся прыгать, используя только что включенные Звездные врата.
tutorial_stargatejumpsuccess | Well done. You can now jump between sectors! | Отличная работа. Теперь вы можете прыгать между секторами!
tutorial_stargatescreen_title | STARGATE PROJECT | ПРОЕКТ ЗВЕЗДНЫХ ВРАТ
tutorial_stargatescreen1 | Let's turn our attention to the STARGATE PROJECT.\n\nWe can view our progress from the Stargate screen.\n\nOpen the STARGATE screen. | Давай обратимся к проекту STARGATE.\n\nМы можем просмотреть наш прогресс с экрана Stargate.\n\nОткрой экран STARGATE.
tutorial_stargatescreen2 | This screen shows the phases that require construction in order to complete the STARGATE.\n\nWe are in PHASE 1. Work has only just begun. | На этом экране показаны фазы, которые необходимо построить для завершения строительства ЗВЕЗДНЫХ ВРАТ.\n\nМы находимся в фазе 1. Работа только началась.
tutorial_stargatescreen3 | On the left of the screen you can see the requirements to complete PHASE 1.\n\nWe need to manufacture:\n- 100 STARGATE FRAMES\n- 10 STARGATE RESIN | В левой части экрана вы можете увидеть требования для завершения ФАЗЫ 1.\n\n Нам нужно изготовить:\n- 100 РАМ ЗВЕЗДНЫХ ВРАТ\n- 10 СМОЛЫ ЗВЕЗДНЫХ ВРАТ
tutorial_stargatescreen4 | These PHASE 1 components are easy to manufacture, and we already have what we need onboard.\n\nBut we can sell them to the STARGATE PROJECT for a small fortune. | Эти компоненты ФАЗЫ 1 легко изготовить, и у нас уже есть все необходимое на борту.\n\nНо мы можем продать их проекту STARGATE за небольшое состояние.
tutorial_stargatescreen5 | Close the STARGATE screen by clicking on the toolbar again (or press ESC). | Закройте экран STARGATE, снова щелкнув на панели инструментов (или нажав ESC).
tutorial_stargatewindowclosewindow | You can now close the Stargate screen. | Теперь вы можете закрыть экран Звездные врата.
tutorial_stargatewindowhighlightcomponent | Each component you need to manufacture is on the left.\nPlacing your mouse over a component's icon shows how to produce it. | Каждый компонент, который вам нужно изготовить, находится слева.\nНаведите курсор на значок компонента, чтобы узнать, как его изготовить.
tutorial_stargatewindowhighlightframes1 | To complete Phase 2, we need to continue manufacturing Stargate Frames.\n\nInstead of 10, we now need 200! | Чтобы завершить фазу 2, нам нужно продолжить производство Рам Звездных Врат.\n\nИ вместо 10, нам теперь нужно 200!
tutorial_stargatewindowhighlightframes2 | Sell your frames at a trading post to submit them to the Andromeda Project. | Продайте свои рамки в торговом пункте, чтобы отправить их в проект Андромеда.
tutorial_stargatewindowhighlightphase2 | Select Phase 2 to see what you need to manufacture for this phase. | Выберите Фазу 2, чтобы узнать, что нужно изготовить для этой фазы.
tutorial_stargatewindowhighlightphases | The Stargate's construction is split into phases, with each phase requiring more and more resources.\nYou have just completed Phase 1. | Строительство Звездных Врат разделено на фазы, каждая из которых требует все больше и больше ресурсов.\nТы только что завершил первую фазу.
tutorial_stargatewindowintro | The Stargate screen displays everything you need to manufacture to complete the current phase. | На экране Звездных Врат отображается все, что вам нужно изготовить для завершения текущей фазы.
tutorial_stargatewindowopenwindow | Select the Stargate button in your toolbar to open the Stargate screen. | Выберите кнопку Звездные врата на панели инструментов, чтобы открыть экран Звездные врата.
tutorial_trade_title | TRADE | ТОРГОВЛЯ
tutorial_tradebuyminerals | METALLIC MINERALS can be smelted into METAL INGOTS just like SCRAP METAL.\n\nAdd all the METALLIC MINERALS to the trade. | ЖЕЛЕЗНУЮ РУДУ можно переплавить в ЖЕЛЕЗНЫЕ СЛИТКИ так же, как и МЕТАЛЛОЛОМ.\n\nДобавьте всю ЖЕЛЕЗНУЮ РУДУ в торговлю.
tutorial_tradebuymore | This is a good opportunity to stock up on some other resources that are critical for life support.\n\nWe'd recommend you purchase:\n\n - 2x FUEL\n - 2x OXYGEN\n - 2x WATER\n - 2x FOOD\n\n- HIRE 5 MORE CREW\n\nCONFIRM the order when you are done. | Это хорошая возможность запастись и другими ресурсами, необходимыми для жизнеобеспечения.\n\nМы рекомендуем вам приобрести:\n\n - 2x Топливо\n - 2x Кислород\n - 2x Воду\n - 2x Еду\n\n- НАЙМИТЕ 5 БОЛЬШИХ СОТРУДНИКОВ\n\n- Подтвердите заказ, когда закончите.
tutorial_tradebuysmelter | We will also need another SMELTER to begin processing those METALLIC MINERALS.\n\nFind the SMELTER under the INDUSTRY tab and add one to the order. | Нам также понадобится еще одна ПЛАВИЛЬНАЯ ПЕЧЬ, чтобы начать переработку этой ЖЕЛЕЗНОЙ РУДЫ.\n\nНайдите ПЛАВИЛЬНУЮ ПЕЧЬ на вкладке ПРОМЫШЛЕННОСТЬ и добавьте ее в заказ.
tutorial_tradeinstallsmelter | Once those goods have arrived, you should install your second SMELTER somewhere near the first. | Как только эти товары будут доставлены, установите второй ПЛАВИЛЬНУЮ ПЕЧЬ рядом с первым.
tutorial_tradeothersupplies | We can use the TRADE system to buy raw materials to produce more STARGATE FRAMES, as well as resources we will need to survive.\n\nReopen the TRADE screen. | Мы можем использовать систему торговли, чтобы купить сырье для производства большего количества РАМ ЗВЕЗДНЫХ ВРАТ, а также ресурсы, которые нам понадобятся для выживания.\n\nОткройте экран торговли.
tutorial_tradesmeltmetallicminerals | Set the SMELTER to process those METALLIC MINERALS you bought into more METAL INGOTS. | Установите ПЛАВИЛЬНУЮ ПЕЧЬ, чтобы переработать купленную вами ЖЕЛЕЗНУЮ РУДУ в больше ЖЕЛЕЗНЫХ СЛИТКОВ.
tutorial_tradewaitforsellable | Your crew will now use the equipment to produce some STARGATE FRAMES. | Теперь ваш экипаж будет использовать Оборудование, чтобы произвести несколько РАМ ЗВЕЗДНЫХ ВРАТ.
tutorial_tutorialend | [End of tutorial - Alpha 11] | [Конец урока - Альфа 11]
tutorial_tutorialskip | Are you sure you wish to skip the tutorial? | Вы уверены, что хотите пропустить этот урок?
tutorial_tutorialskipno | RESUME TUTORIAL | ВОЗОБНОВИТЬ УЧЕБНИК
tutorial_tutorialskipyes | SKIP TUTORIAL | ПРОПУСТИТЬ УЧЕБНИК
tutorial_wrapup_title | END OF TUTORIAL | КОНЕЦ ОБУЧЕНИЯ
tutorial_wrapup1 | We've covered the basics. You've learnt how to install equipment on your ship, and how to navigate space. | Мы изучили основы. Вы узнали, как устанавливать Оборудование на корабль и как ориентироваться в пространстве.
tutorial_wrapup2 | The career you choose is now up to you.  There are many opportunities to choose from, and you'll learn more as you work.\n\nOpen the CONTRACTS board. | Теперь вы можете выбрать карьеру.  Есть много возможностей для выбора, и вы узнаете больше по мере работы.\n\nОткройте доску КОНТРАКТОВ.
tutorial_wrapup3 | Many different types of contract are now available to you.\n\nHowever, you must stay alert, Captain. There are reports of even more lucrative opportunities that you'll have to find by yourself. | Теперь вам доступно множество различных видов контрактов.\n\nНо вы должны оставаться начеку, капитан. Поступают сообщения о еще более выгодных возможностях, которые вам придется искать самостоятельно.
tutorial_wrapup4 | Keep a keen eye out for special systems on the map, you never know who or what you may find there. | Следите за специальными системами на карте, никогда не знаешь, кого или что вы можете там найти.
tutorial_wrapupfinal | Whatever you choose, more instructions will be given when required.\n\nIt's up to you what you do next. | Что бы вы ни выбрали, дополнительные инструкции будут даны при необходимости.\n\nВы сами решаете, что делать дальше.
