dsi_action_canceldeal | Cancel the deal with X | Отменить сделку с X
dsi_part2_secondpartcomplete3 | I just want to be the first at something huge.  The first person to visit another galaxy.  Alexander James Elistar.  That's a name that people would remember. | Я просто хочу быть первым в чем-то грандиозном.  Первым человеком, посетившим другую галактику.  Александр Джеймс Элистар.  Это имя, которое люди запомнят.
dsi_part2_summary | Resume work on the Stargate with X | Возобновить работу над Звездными Вратами с X
dsi_part2_thirdpartcomplete1 | We are all done, Captain.  That was an incredible display of industrialised power.  There's nobody even close to us in the Marketplace, and we basically are the Andromeda Project.  They need us now. | Мы закончили, Капитан.  Это было невероятное проявление промышленной мощи.  На Рынке никого даже близко к нам нет, и мы, по сути, и есть Проект Андромеда.  Они нуждаются в нас сейчас.
dsi_part2_thirdpartcomplete2 | Let's take another break and I'll contact you when the Andromeda Project releases the manifest for their next phase. | Давайте сделаем еще один перерыв, и я свяжусь с вами, когда Проект Андромеда выпустит манифест для следующей фазы.
dsi_part2_thirdpartcomplete3 | You should know that my Doctors continue to bring me bad news.  Each time I talk to them... well, I don't know how long I have left.  This will be my final project.  I just hope I have time to finish it. | Вы должны знать, что мои врачи продолжают приносить мне плохие новости.  Каждый раз, когда я разговариваю с ними... что ж, я не знаю, сколько у меня осталось времени.  Это будет мой последний проект.  Я просто надеюсь, что у меня будет время его закончить.
dsi_part2_title | Deep Space Industrialists, Part 2 | Промышленники Дальнего Космоса, Часть 2
dsi_x_canceldeal1 | I'm disappointed, Captain. You're backing out after all the investment I've put into this project? | Я разочарован, Капитан. Вы отступаете после всех инвестиций, которые я вложил в этот проект?
dsi_x_canceldeal2 | You will regret this. | Вы пожалеете об этом.
dsi_x_canceldeal3 | Goodbye, Captain. | До свидания, Капитан.
dsi_xthanks1 | Thank you, Captain.  I appreciate the prompt payment. | Спасибо, Капитан.  Я ценю оперативный платеж.
dsi_xthanks2 | Payment received, thank you, Captain. | Платеж получен, спасибо, Капитан.
dsi_xthanks3 | I've received my share.  Excellent work, Captain. | Я получил свою долю.  Отличная работа, Капитан.
dsi_xwarning1 | Captain, I can see you've sold a batch of Stargate parts, but I've received no corresponding payment.  We agreed to split all revenue 50/50.  This setup is costing me a fortune and I need to start making my return.  Please transfer the funds to my account as soon as possible. | Капитан, я вижу, что вы продали партию деталей Звездных Врат, но я не получил соответствующего платежа.  Мы договорились делить всю выручку 50/50.  Эта установка стоит мне целое состояние, и мне нужно начать получать отдачу.  Пожалуйста, переведите средства на мой счет как можно скорее.
dsi_xwarning2 | Captain, I was sure I'd made our agreement clear.  Don't forget who owns this station, and all the equipment onboard.  50/50 was what we agreed. | Капитан, я был уверен, что четко изложил наше соглашение.  Не забывайте, кому принадлежит эта станция и все оборудование на борту.  50/50 - вот о чем мы договорились.
dsi_xwarning2_part1 | Captain, I was sure I'd made our agreement clear.  Don't forget who owns this station, and all the equipment onboard.  50/50 was what we agreed. | Капитан, я был уверен, что четко изложил наше соглашение.  Не забывайте, кому принадлежит эта станция и все оборудование на борту.  50/50 - вот о чем мы договорились.
dsi_xwarning2_part2 | I thought I could trust you.  Pay me the money you owe, immediately, or I will be forced to escalate. | Я думал, что могу вам доверять.  Заплатите мне деньги, которые вы должны, немедленно, или я буду вынужден обострить ситуацию.
dsi_xwarning3 | Captain, this is your final warning.  You are now willfully withholding sales revenue that is legally mine.  If you don't pay what you owe immediately I will have no choice but to terminate our agreement, seize control of my station, and recover any financial losses directly from you. | Капитан, это ваше последнее предупреждение.  Вы сейчас преднамеренно удерживаете выручку от продаж, которая юридически принадлежит мне.  Если вы не заплатите то, что должны, немедленно, у меня не будет выбора, кроме как расторгнуть наше соглашение, захватить контроль над моей станцией и возместить любые финансовые потери непосредственно с вас.
