tutorial_battlestationshighlightcrew | Ваш экипаж побежит к оружию, чтобы активировать его.\n\nПулеметы не требуют экипажа для активации.
tutorial_smelterssalvage | Щелкните на близлежащем <b>РАЗРУШЕННОМ ОБОРУДОВАНИИ</b>, чтобы дать указание вашему экипажу демонтировать его в <b>МЕТАЛЛОЛОМ</b>.
tutorial_smeltersscrapmetal | Щелкните правой кнопкой мыши по <b>ПЛАВИЛЬНОЙ ПЕЧИ</b> и установите её материал на <b>МЕТАЛЛОЛОМ</b>.
tutorial_smeltersstoragedone | Экипаж переместит весь <b>МЕТАЛЛОЛОМ</b> в эту зону.
tutorial_smeltersstoragetoolbar | Мы можем сделать работу более эффективной для нашего экипажа, сказав им хранить <b>МЕТАЛЛОЛОМ</b> рядом с <b>ПЛАВИЛЬНОЙ ПЕЧЬЮ</b>.\n\nВыберите <b>ХРАНИЛИЩЕ</b> на панели инструментов <b>СТРОИТЕЛЬСТВО</b>, затем выберите <b>МЕТАЛЛОЛОМ</b> из списка.
tutorial_smeltersstorageworld | Теперь растяните зону хранения рядом с <b>ПЛАВИЛЬНОЙ ПЕЧЬЮ</b>.
tutorial_stargatejump_title | ПРЫЖКИ ЧЕРЕЗ ЗВЕЗДНЫЕ ВРАТА
tutorial_stargatejumpabortjump | Нам нужно будет отменить прыжок, который в настоящее время запланирован.
tutorial_stargatejumphighlightalign | Когда на карте сектора не запланирован прыжок, вы можете выровнять ваш флот для прыжка через Звездные Врата.
tutorial_stargatejumphighlightaligning | Отлично! Выбранные корабли теперь выровняются для прыжка.
tutorial_stargatejumphighlightjump | Ваш флот готов к прыжку в новый сектор!\n\nВы можете вернуться в этот сектор, совершив еще один прыжок через Звездные Врата.
tutorial_stargatejumpintro | Звездные Врата позволяют перемещаться между различными секторами.\n\nПрыжок стоит одну единицу <b>ГИПЕРТОПЛИВА</b>, и Звездные Врата будут использовать больше энергии во время прыжка.
tutorial_stargatejumpnopower | Звездные Врата в настоящее время потеряли энергию и должны быть снова запущены.\n\nИспользуйте передатчики энергии для питания Звездных Врат.\n\nКогда Звездные Врата будут готовы, мы попробуем снова!
tutorial_stargatejumpopenftl | Сначала давайте откроем окно <b>ГИПЕРДВИГАТЕЛЬ</b>.
tutorial_stargatejumpselectsystem | Давайте посмотрим на ваш корабль в системе Звездные Врата.\n\nПрыжки через Звездные Врата могут выполняться только из системы Звездные Врата.
tutorial_stargatejumpstart | Теперь мы научимся совершать прыжки, используя недавно запущенные Звездные Врата.
